,video_id,cluster
0,qtlUwwtvuEg,0
1,QaoDXYYtgK0,-1
2,PqDwddEHswU,3
3,B-Y7rnOa43w,1
4,vyit-1zKsZ4,0
5,MWNqE4z2C34,0
6,SWeQO2SEOmQ,2
7,pRC4M5Na3jM,2
8,ax-3m4GSa1c,-1
9,_8fDMmnDyYQ,2
10,GyGp98vvEqA,4
11,aC-EfNvuznc,2
12,jnnj6Fd2ym0,-1
13,MH4yvtgAR-4,-1
14,Q3BUcYuC7l0,3
15,7eveKBGUAfk,0
16,XbpRj6CTET0,3
17,2r_551Fmplo,4
18,7uLzGRlXXDw,0
19,dMVLd5URpvs,-1
20,NqDDk_Tcro8,0
21,KVJDmujRpCM,5
22,zEoXnEqChHQ,4
23,SgE6D--y_3o,-1
24,gsqCpz5pkJI,2
25,Bi7f1JSSlh8,-1
26,JDFYAXsLCW0,2
27,X591qpFytM8,-1
28,ixfAdv9sL30,-1
29,BJ6kyj-st9k,1
30,ZhzatOlPXmA,3
31,gNkFVws3JMo,6
32,-v123Dqwrxs,2
33,IbDfTLOYZM0,-1
34,uyLEICmajKc,4
35,sw3o0rAazMg,5
36,pjgfffzvbUg,7
37,V5uEaqCppoU,3
38,alQSl1vaaBM,4
39,Hng5AYco6fo,0
40,r31jnE7pR-g,3
41,c-qwISJGebI,1
42,1QPr59OUZ5I,3
43,TUCnsS72Q9s,-1
44,kmeaG_BQZ7M,0
45,W94XoWC-MT8,4
46,vx6SOaqg15w,3
47,UD7xWjsFjbY,-1
48,1wo2NG51y8I,4
49,0CqyPmLw8X4,2
50,DbNejXrDz9U,-1
51,EFXsGviDHQ4,4
52,_omzaPcvQVQ,8
53,erFxR8DNu_Q,-1
54,QVg37-m4Ia4,1
55,LUnZXBL_lqA,3
56,xwrFHpI0ZvY,-1
57,-5zUVOl_Km0,0
58,fxYtAtIq8rY,0
59,v6OB80Vt1Dk,-1
60,xyePzzzHdP0,3
61,epmJBWzqK7I,9
62,PBnKDvvqOdg,4
63,aFEfJql9wyI,3
64,zFO8_dLo8Oo,-1
65,nJFnzPjEPdQ,-1
66,BK07WUEMvPk,-1
67,LK5j3pp0Too,-1
68,xLkk6MUrvrw,0
69,xW1jg1UiVwo,3
70,Pjg3p6DFmlc,-1
71,lDNj6GDc6jM,-1
72,K5De4kTrzOI,2
73,M9a0XrkdBf4,0
74,-UoEHJzj6k4,-1
75,JkvSlappkJc,-1
76,vJgGESZMhrw,1
77,s1qZbsytk08,-1
78,yivMSWmzMDg,0
79,Jct87kQHMm4,4
80,rhLcX0Pf4Y0,3
81,vpOLiDyhNUA,0
82,2_8kgV-EfTA,-1
83,e7CiS7EBHiA,3
84,V6DyqkIHQXE,2
85,wpKdOt3yIK8,-1
86,Gh_OLAjqAVg,0
87,O6oa2kQxvRs,3
88,CNez5nVii5w,-1
89,F4UMwbofoAo,4
90,cwFENWpeWEM,10
91,spLjYlxzCwk,1
92,wQ8BIBpya2k,-1
93,ca0BZWVzV-w,11
94,sicTn3mNiv8,4
95,qS3Ytc6v7IQ,-1
96,DAFljjxmyZw,0
97,i-2GDoVGV_8,3
98,6fwhbzcUM38,4
99,3qRJfUv7W_Y,0
100,qFM1dXFAtJ8,3
101,UHdrxHPRBng,5
102,qmDGjEEq0VU,3
103,L4rpc7AmfQk,-1
104,-qT8fJTP3Ks,1
105,5kys35PPUZo,12
106,vq2nnJ4g6N0,-1
107,QzY57FaENXg,3
108,cE-Ej1ycXtk,-1
109,lvhryaU5njg,22
110,3kMDQWhc77M,3
111,sMhcifjF1yw,2
112,Z27llwBA0Uw,0
113,81J2AUJT4G0,13
114,R-1rN2CHdVU,-1
115,qetKUFDDF4A,-1
116,htjRUL3neMg,1
117,lA8jzurgRrU,-1
118,iSTlKTRPVCk,-1
119,ziPyS-_uetk,2
120,lAfFTQEUs94,-1
121,MJBM4kJ5y6A,4
122,yw24Ahik7No,1
123,wlIKCJZEImw,5
124,96-u9s6D16k,0
125,kQup6VrPho0,3
126,O59lRcwS5B4,5
127,CUgVEXzoPkI,3
128,AhiDo_4yGwU,13
129,Rq6KOk2CggY,13
130,oV4v1DnT4cA,14
131,NTHpnH3Cewk,3
132,VVc9cGRz1S8,3
133,vqLEggSF_Ks,4
134,LeJkB_Moejs,1
135,2OfZYCJPx8Q,3
136,pofCzeMWxwI,-1
137,x20Kk6G0QkU,4
138,5z04IuV_WD8,3
139,LO3K_AIn65A,2
140,lw616xy2IrE,2
141,GboOXAjGevA,3
142,E9_4z1-vLIs,10
143,kheY3VXmbhQ,2
144,0j1VcoAld0I,-1
145,P3vlxX1dH3k,1
146,B8LT-2JhrRE,0
147,6Ww9QHfiCAg,3
148,Wab5f3bKR24,-1
149,pZb4bY5Vcio,3
150,t783Q4PrcJo,3
151,ob12tZXPJ0w,-1
152,xRo4R-c_VFk,4
153,NSFY8_gxGvk,-1
154,WpIQdR74fWo,-1
155,uQ8-N28livE,-1
156,DkbQzMJ4tMk,0
157,cSSYPjGu6mk,3
158,DooxDIRAkPA,-1
159,u8nBYqTGQ0s,3
160,4iTh-rRYeBY,3
161,oayT6OhEa1E,4
162,ovhKeIhcOCU,3
163,nASDYRkbQIY,3
164,YwE6DINJsgY,14
165,R-8xuDpozY8,3
166,1NTgvQ-PqoU,3
167,VQ4gsqYBv1s,0
168,_1XnKeRBBi4,4
169,GK10ULKDW9g,14
170,rv6hECykco0,-1
171,QiTkYn7OyAQ,2
172,n98pVZNIkBw,3
173,FbVxbw0A5Bw,2
174,FTmbK84ameQ,-1
175,IuT8cDD-pHg,4
176,ht6fLrar91U,3
177,ol6xaa8jedw,0
178,YLQVB6rtaiw,15
179,rq4T80sBnXk,0
180,bGxre-RsF6M,14
181,EzbFJIQpkoc,3
182,ilLDSQwzEuM,0
183,JImT4CsITao,5
184,f_uwKZIAeM0,-1
185,ZxCBEkSDx3g,4
186,5d92tBkGI3s,3
187,oeEmUFoOgmM,2
188,00Om_riDR7E,1
189,NWONeJKn6kc,-1
190,QizsAE4fBpQ,3
191,MhCHrvfAXlc,0
192,UNAu-gNSqsM,-1
193,MJ8Gj-8KbTA,2
194,MZmNxvLDdV0,0
195,rhrNIieJ6dE,-1
196,q6j6FWr07Io,-1
197,hYiaXe7kQS0,3
198,51SYxsZZeZE,2
199,Txe6QqwKsfw,2
200,TKUIMUwZWJ8,-1
201,eUMCDUXsgQ4,0
202,lXuQKoQCtOc,3
203,j60J1cGINX4,-1
204,B_R4xZpfSV8,-1
205,6Xt6L1I5jSc,0
206,MEiosP87aJM,-1
207,VOaoabf3LPM,-1
208,PhrCO2dYAnM,-1
209,957fQCm5aDo,0
210,g6-CKbx6FfI,1
211,R3YFxF0n8n8,-1
212,U8o8T83a0ME,-1
213,JuJjiSBnIfg,-1
214,S-zB-pgS0ks,13
215,kaMgO8zLOow,1
216,LcWFedjaR4Q,-1
217,ad79nYk2keg,-1
218,cutp6Jc_8GM,4
219,7FKJSX0fABg,3
220,xqbHczUVhcU,3
221,AuvVHAPX2R8,-1
222,AONZoaWC9v4,-1
223,KqAcT5KpAmI,3
224,RVok6bu3Rts,2
225,kItMmPGb6qk,11
226,rZn_W7hJ9m8,4
227,GDCnydDWRnM,1
228,Q1d5aiBFNpM,-1
229,s0dMTAQM4cw,-1
230,Tl3rlLK6qiQ,3
231,qU4iXA6VmvE,-1
232,R_uXFOcu_HA,4
233,n_ag1-KXWjI,-1
234,hdKTP2cKAEk,-1
235,WaO7n3QDZH4,13
236,oN9Es94C5TE,10
237,_yTvek_b2Io,3
238,IJKjMIU55pE,-1
239,1gJQ6GegzLc,2
240,xoVJKj8lcNQ,-1
241,-PskaxUWZ-w,3
242,tVVr4wp03Hg,8
243,144uOfr4SYA,-1
244,8Erq3b7chrk,3
245,2BulrgK--_8,19
246,U8Rm1eZpGNQ,25
247,ZUqB-luawZg,1
248,YJMGo-1QH5k,0
249,hvUEfDnA0qg,2
250,T_lA80OdST8,0
251,d6ZpJ_DE2ag,1
252,ua1B-vXDLAA,4
253,3bSVKNKb_PY,3
254,gRCY7yVahJM,0
255,djXyYzqROP0,4
256,cpgvRFNAyks,-1
257,WKEuZ91VNCU,3
258,HV-ckR5ipwY,3
259,QyyWsr1NMt8,-1
260,AMMZfMVES3Q,2
261,5-Q0boiEqFM,16
262,JgainmuuB84,4
263,TbbEVA2qS4c,-1
264,taMP_n3wL7M,-1
265,anW5W67OEME,0
266,rmMLItPM9EY,1
267,vSfRaH-Tug4,0
268,19I-G0FLIN0,-1
269,LIBk6R97G-A,2
270,mFMNmyZv86k,0
271,5CxZbKr4ifI,4
272,1zBYwwyX460,-1
273,tJQSyzBUAew,4
274,-zJkdIQbirk,3
275,CJfck0wvaz8,-1
276,ZjkWoWf8d7c,3
