channel_id,title,description,published_at,subscriber_count,video_count,view_count,region
UCl-LwKb3m8uJ3TXqAfeVHnw,High Tech RJ,"Welcome to our tech channel! 👨‍💻
Here, you'll find a variety of technology-related videos, including unboxing, tech updates, news, reviews of the latest gadgets, and smartphones, and discussions on new technology trends. Your feedback is highly valuable to us, so please share any suggestions or concerns you may have. We greatly appreciate your love and support as we strive to grow and improve.

Business: worldtechies98@gmail.com ",2022-09-24T14:40:57.499201Z,57400,546,29908445,IN
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,"Let's become the Greatest Tech Community on the Planet 🌍

I'm Arun Maini, I'm a 27 year old Economics graduate whose life's passion is Technology, and I'm on a mission to make the most FUN and USEFUL Tech videos on the Planet! 🙏



",2011-04-20T12:10:24Z,19300000,1717,5779980702,GB
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,"MKBHD: Quality Tech Videos | YouTuber | Geek | Consumer Electronics | Tech Head | Internet Personality!

business@MKBHD.com

NYC",2008-03-21T15:25:54Z,19300000,1674,4408942571,US
UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links. 

",2011-09-11T14:10:00Z,2160000,1222,583759627,IN
UCZplcq7yAkOmNHcw44zCWvw,Tech Padd,"Hi Everyone My Self  Santosh Kumar.

Welcome to our channel! Here, we are dedicated to providing you with the latest tech and gadget reviews, including product suggestions and buying guides.

Whether you're looking for a new smartphone, laptop, smart home device or gaming gear, we've got you covered.

We also share tips and tricks to help you get the most out of your tech. 

Subscribe now for all your tech needs!🔔

Business Inquiry: techpaddbusiness@gmail.com

My Youtube journey:-
                     
                      0 to 100                      (29/11/2022)
                  500 to 1000                   (05/05/2023)
                1000 to 2000                   (15/06/2023)
                5000 to 6000                   (27/04/2024)
                6000 to 7000                            ?
",2022-08-10T16:16:41.823293Z,7940,280,6625529,IN
UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,Subscribe 🔥,2014-09-26T18:24:03Z,11900000,1340,2150794365,IN
UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,"Trakin Tech is one of the fastest growing Youtube Channel Founded by Arun Prabhudesai that features daily videos on Smartphone & Gadget Reviews, Unboxing videos, breaking Tech Stories and Tech News.

We do not contact anyone from ""@gmail.com"" All our communications are from ""@trak.in"" email address. So please beware and do not entertain any Gmail addresses

We upload videos everyday!

For Business and Partnerships: business@trak.in

This Channel is owned, operated, and managed by, Armoks Media Private Limited.

Note: Copying or Reproduction of content from this channel is strictly prohibited.
You can find Arun Prabhudesai on Twitter at https://twitter.com/8ap
",2011-11-02T02:58:54Z,14500000,3999,2712781737,IN
UC1jamGIyczz9idCjXPjEe6Q,Gravity,"On this channel you can see interesting information in the form of beautiful animations. I used to run the ""Гравитация"" Channel in Russian.
I do not want to repeat the video on the old channel only in English. 
I will only share with you by preparing new and original videos.
",2022-02-18T09:10:39.7104Z,889000,193,192194201,US
UCdoDYkupTElV62K7ttA_E4w,TechBar,"I Make Quality Tech Videos! 
Subscribe and Join #TechBarArmy

Business Inquiry: sanchit@techbar.in",2012-02-25T15:25:58Z,4980000,1456,1399597251,IN
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,"नमस्कार दोस्तों, आपका बहुत बहुत स्वागत है हमारे चैनल ""Technical Guruji"" में, मैंने यह चैनल मेरे उन सभी दोस्तों के लिए बनाया है जो टेक्नोलॉजी के बारे में अपनी भाषा में जानना चाहते है, ""Technical Guruji"" चैनल में आपको रोज़ाना एक नयी वीडियो मिलेगी जहा मैं कोशिश करूँगा आपको मोबाइल और कंप्यूटर की दुनिया के बारे में कुछ जरुरी बातें बताने की| 
Hello friends, Welcome to ""Technical Guruji"", I created this channel on 18th October 2015, my motive behind creating this channel is to make easy to understand, Tech Videos in Hindi, and I want each and every individual whoever is interested in technology to be able to understand it in the easiest possible way. I post two videos daily, on topics that cover latest technology and tech news. Please SUBSCRIBE to Technical Guruji, Thanks. जय हिन्द, वन्दे मातरम|

For Business enquiries: business@technicalguruji.in
IGNORE e-mails sent to you from any non @technicalguruji.in e-mail addresses.
I do not provide tech support over e-mail.",2015-10-19T06:17:46Z,23600000,5538,3731457837,IN
