videoId,title,description,publishedAt,thumbnail_url,tags,live_broadcast,categoryId,viewCount,likeCount,commentCount,licensed,duration,caption
OZvTy_qRaTY,+60.000€ al mes con Inteligencia Artificial (18 años) | Episodio 013 Anas Andaloussi,"Hoy hablamos con Anas Andaloussi, un joven emprendedor que con solo 18 años es experto en Inteligencia Artificial. 

También es el fundador de Escribelo.ai, una herramienta para optimizar el SEO de las páginas web y con la que en menos de 6 meses está facturando más de 60.000€ al mes. 

Empezó con solo 13 años montando y vendiendo paginas web, y desde ese momento, no ha parado.

La Inteligencia Artificial es el presente y el futuro, Anas nos cuenta por qué.

Comunidad 1337 Corp:
1337-corp.com 

Newsletter #1 hispanohablante: https://1337-corp.com/newsletter

@alexhawkers
@aleksnchz
@oscsa
@anasandaloussii
@1337.corp",2023-07-16T18:00:22Z,https://i.ytimg.com/vi/OZvTy_qRaTY/default.jpg,"['anas', 'anas andoaloussi', 'inteligencia artifical', 'escribelo.ai']",none,22,95524,1860,179,False,PT1H59M37S,false
aFP1oIiynjs,Jay Alvarrez: El Primer Influencer del Mundo,"Agradecimiento especial a Nivaray Media por a producción del podcast: https://instagram.com/nivaraymedia

Sumérgete en la vida vibrante y aventurera de Jay Alvarrez, el influencer que ha conquistado las redes sociales con su espíritu audaz y su amor por los viajes. Desde sus inicios en Hawái hasta su ascenso a la fama mundial, Jay comparte en esta entrevista exclusiva sus experiencias, desafíos y los secretos detrás de su exitosa carrera en el modelaje y en las redes sociales. 

Ya sea que te fascinen los viajes a lugares exóticos, la adrenalina de los deportes extremos o simplemente te intereses por la vida de los influencers, esta entrevista te ofrecerá una perspectiva única e íntima del mundo de Jay Alvarrez. ¡No te lo pierdas!

@alexhawkers
@aleksnchz
@oscsa
@jayalvarrez",2023-06-25T18:30:00Z,https://i.ytimg.com/vi/aFP1oIiynjs/default.jpg,[],none,22,166854,3544,169,False,PT1H58M6S,false
tKAYPZUNiv0,"Ilia Topuria: Josh Emmett, Su Título Mundial y Su Mente Prodigiosa","En esta exclusiva entrevista, nos adentramos en el corazón y la mente de uno de los luchadores más prometedores de la UFC, Ilia Topuria.

Desde sus humildes comienzos hasta su ascenso al estrellato en el Octágono, Ilia nos comparte su apasionante historia, sus intensos entrenamientos y la dedicación inquebrantable que lo ha llevado a donde está hoy. Descubre qué lo inspira a seguir adelante, incluso en los momentos más duros. No te pierdas esta oportunidad única de conocer a Ilia Topuria más allá de sus emocionantes peleas en la UFC.

Suscríbete a nuestro canal y activa las notificaciones para no perderte ninguna de nuestras entrevistas semanales.

CRONOLOGÍA
00:00 Inicio
01:56 Qué se espera Ilia de su próximo combate
10:31 Cómo es la dieta antes de un combate
16:01 La polémica de los pesajes
19:12 Qué hará Ilia después de su carrera como luchador
23:23 La personalidad de Ilia 
28:03 Las apuestas y los combates
33:57 La motivación de Ilia
46:35 ¿Tiene Ilia problemas de ansiedad?
52:27 El respeto de los luchadores
59:25 Cómo funciona el sistema de la UFC
01:03:17 La disciplina
01:09:00 Cómo Ilia puedo entrar en la UFC
01:19:50 El autocontrol de los luchadores
01:22:55 El puñetazo de Ilia a un fan
01:24:49 Qué opina Ilia de los combates que solo son espectáculos
01:26:27 ¿Tiene Ilia rituales antes del combate?
01:34:36 Los planes de futuro de Ilia
01:37:00 Con cuanto dinero al mes puede vivir una persona sin problemas
01:45:45 Los negocios y Ilia
02:07:42 Los problemas del jet lag y los viajes

@alexhawkers
@aleksnchz
@oscsa
@iliatopuria",2023-06-11T18:00:20Z,https://i.ytimg.com/vi/tKAYPZUNiv0/default.jpg,"['ilia topuria', 'alex hawkers', 'hills', 'podcast ilia topuria', 'podcast alex hawkers', 'hawkers', 'podcast hawkers', 'ilia topuria ufc']",none,22,365289,6552,522,False,PT2H22M16S,false
8BW9FZGRc2w,Adrián Mateos: el Rey del Poker Mundial,"¡Sumérgete en la fascinante vida del jugador de poker profesional Adrián Mateos! En esta entrevista exclusiva, Adrián nos lleva por un viaje lleno de apuestas altas, desde sus primeros días aprendiendo el juego hasta su ascenso al estrellato en los más importantes torneos de poker en Las Vegas.

Adrián comparte detalles íntimos sobre su carrera en el poker, incluyendo cómo se inició en el juego y cómo logró alcanzar el éxito en un mundo tan competitivo. Con sus historias de triunfo en los torneos de Las Vegas, entenderás la verdadera intensidad y emoción de ser un jugador de poker profesional.

Además, Adrián nos ofrece una visión única sobre el lado empresarial del poker. Con su conocimiento y experiencia, ofrece valiosos consejos para aquellos interesados en el mundo del poker, tanto a nivel de juego como de negocio.

No te pierdas esta oportunidad de aprender de uno de los mejores del juego. ¡Dale al play y adéntrate en el mundo del poker con Adrián Mateos!

#AdriánMateos #PokerProfesional #LasVegas #NegociosDelPoker

@alexhawkers
@aleksnchz
@oscsa
@amadi17

CRONOLOGÍA
00:00 Inicio
02:28 El comienzo de Adrián en el mundo del poker
12:36 Cómo funcionan los torneos de poker
22:28 Cómo Adrián se prepara para sus partidas
30:31 La dificultad psicologica del poker
34:19 Los españoles en el poker
35:22 Puede cualquier persona ser profesional en el poker?
37:25 Ha llegado Adrián a un limite de conocimientos en el poker
47:48 Cómo son los grandes torneos en Las Vegas
54:28 El supuesto tiroteo que vivió Adrian en un casino de las Vegas
01:08:16 Consejo para los jugadores de poker
01:16:22 Los negocios y el poker
01:20:34 El gran valor que posee Adrian
01:24:26 Comienza la partida de poker

Detrás de las cámaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: Kw1VAELM94M",2023-06-04T18:00:22Z,https://i.ytimg.com/vi/8BW9FZGRc2w/default.jpg,"['adrian mateos', 'world series of poker', 'poker', 'hawkers', 'alex hawkers', 'podcast', 'alex hawkers podcast', 'hills', 'adrian mateos diaz', 'european poker tour']",none,22,374050,12312,371,False,PT2H22M3S,false
9cq2vU7CQ6E,Almorzando con Clavero: La Oportunidad de YouTube y Vida en Los Ángeles,"¡Bienvenidos a un episodio muy especial en el que nos sentamos a la mesa con el famoso YouTuber, Pau Clavero! En esta entrevista, nos sumergimos en una conversación fascinante y sincera con Pau, en el mismísimo restaurante más antiguo de España situado en Barcelona. Pau nos abre su mundo, hablando de sus comienzos humildes en YouTube, su increíble ascenso a la fama y su reciente mudanza a Los Ángeles.

Nos sumergimos en sus vídeos e historias, explorando su proceso creativo y cómo ha evolucionado a lo largo de los años. Además, Pau habla de su relación con su pareja, compartiendo cómo ha influido en su vida y su carrera.

Esto es más que una simple entrevista, es un viaje en el tiempo, desde el pasado de Pau hasta su presente y sus aspiraciones futuras. Prepárate para conocer a Pau Clavero como nunca antes, en un escenario con tanto carácter e historia como él mismo. ¡No te lo puedes perder!

00:00 Inicio
03:39 Dónde comemos hoy
06:20 Por qué Clavero decidió irse a USA
20:09 ¿Clavero se siente encasillado?
21:23 Cuáles son los objetivos de Clavero
23:53 ¿Ha cambiado el algoritmo de YouTube?
30:23 Cómo comenzó Clavero
40:49 La receta para hacer los videos de Clavero
01:00:38 La inspiración de Clavero
01: 03:35 El estilo de vida de Clavero
01:11:31 Cómo Clavero compagina su vida de creador con su pareja
01:16:23 El potencial económico que posee Clavero con su videos
01:26:44 El proceso creativo de Clavero
01:34:18 El valor de los videos de Clavero
01:50:09 ¿Qué historia quiere contar Clavero en un futuro?

@alexhawkers
@aleksnchz
@oscsa
@hiclavero 

Detrás de las camaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: wA0YLom3OqQ",2023-05-28T18:06:59Z,https://i.ytimg.com/vi/9cq2vU7CQ6E/default.jpg,"['pau clavero', 'clavero', 'alex', 'hawkers', 'alex hawkers', 'hills']",none,22,158372,5448,268,False,PT2H5M50S,false
L89yLlsT_ao,Comiendo Paella con Joan Pradells: Química entre Emprendedores,"En el vídeo de hoy, os traemos algo realmente especial. Nos encontramos navegando por las impresionantes aguas de Formentera, una joya del Mediterráneo, a bordo de un lujoso yate. Y como si eso no fuera suficiente, estamos en compañía de nada más y nada menos que Joan Pradells, el reconocido culturista español.

00:00 Inicio
04:00 La marca personal de Joan Pradells y el emprendimiento
13:04 Ambición y exigencia
15:52 Cómo elegir un buen equipo
19:40 Metodología y efectividad en la empresa
23:13 Entrenamiento y disciplina
27:08 Twitch
29:06 Contenido clave para crecer en redes
39:09 Competiciones y el Olympia
42:24 Preparación previa a las competiciones
50:15 Cambios y prejuicios del culturismo
57:55 El balance entre la salud y el rendimiento
1:06:26 Visión de futuro
1:08:55 Los anabolizantes en el culturismo
1:16:50 Emilio Martinez y los inicios del culturismo
1:21:24 Powerlifting
1:24:06 Aspectos negativos en el mundo del cuturismo
1:27:00 Invertir en el mundo del culturismo
1:28:56 Rentabilidad del contenido en redes sociales
1:33:01 Entrenar diariamente
1:34:24 Mensaje y conclusiones por Alex Hawkers


@alexhawkers
@aleksnchz
@oscsa
@joanpradells

Detrás de las camaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: wA0YLom3OqQ",2023-05-21T18:00:11Z,https://i.ytimg.com/vi/L89yLlsT_ao/default.jpg,"['culturismo', 'alex hawkers', 'hills', 'joan pradells', 'alex hawkers joan pradells']",none,22,144492,4819,233,False,PT2H20S,false
AouayAOlAYA,Cenando Sushi con byCaLiTos en una tienda de Zapas! 👟🍣,"¡No te pierdas este episodio especial de nuestro podcast! Nos unimos a byCaLiTos, el icónico influencer de moda español, para una cena íntima de sushi en la tienda de zapatillas NewCop. Descubre sus últimas tendencias, consejos de moda, y ¡hasta los secretos detrás de su éxito! 🚀 

Echa un vistazo a las últimas novedades de NewCop en: https://newcop.com/
10% de Descuento con el código OSCAR10

00:00 Inicio
02:57 Preguntas de ChatGPT
06:23 Por qué sigue viviendo con su madre
10:56 Carlos y el amor
15:37 Por qué empezó a hacer contenido de moda
18:43 Por qué el contenido de Calitos es único
23:17 Enemigos de Carlos
36:38 La relación con DIOR
41:33 Cómo Carlos se adentra en el mundo de las marcas de lujo
44:34 Cómo nació Scrapworld
01:01:41 La gratitud de los fans del podcast
01:06:14 la kings league y la relación con el futbol de Carlos
01:10:53 la técnica secreta de Carlos
01:16:03 Situación del mundo de las sneakers y el poder de Kanye
01:25:48 ¿Existe una formula para triunfar?
01:31:23 El contenido cansino del emprendimiento
01:45:01 Dónde se ve Carlos en unos años
01:51:39 Las preguntas de la comunidad
02:00:01 La sección de explorar del Instagram de Carlos
02:02:46 Vlog comprando zapas

@alexhawkers
@aleksnchz
@oscsa
@bycalitos_official

Detrás de las camaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: 8BQDPZYwQVw",2023-05-14T18:00:08Z,https://i.ytimg.com/vi/AouayAOlAYA/default.jpg,[],none,22,191233,6065,596,True,PT2H12M33S,false
86m6iKROqZ8,Cenando con Jorge Lorenzo: Rivales de Pista y Los Haters,"¡Bienvenidos a un nuevo episodio de nuestro podcast! En esta ocasión, nos sumergimos en el mundo de la velocidad y la gastronomía al cenar en Madrid con el legendario piloto de MotoGP, Jorge Lorenzo. Acompáñanos mientras descubrimos los secretos detrás de su exitosa carrera, sus retos y triunfos en el mundo del motociclismo. Además, nos adentraremos en su pasión por la comida española, mientras disfrutamos de deliciosos platos madrileños en un ambiente inigualable. ¡No te lo pierdas! 🏍️🍽️

Si te gustó este episodio, no olvides suscribirte y dejarnos un comentario compartiendo tu opinión. ¡Hasta el próximo podcast! 🎧

00:00 Inicio
02:33 Cómo nació la amistad con Jorge
06:55 Cómo nació el proyecto de Hawkers gracias a Jorge
13:42 El descuido de Jorge
16:13 Las virtudes de Jorge
22:10 Las rivalidades de Jorge en el circuito y fuera de el
26:09 La chulería en los deportes
33:12 La tragedia de Marco Simoncelli
41:15 La rivalidad con Valentino Rossi
42:18 Los mayores rivales a nivel psicológico de Jorge
44:05 El peor momento de la carrera de Jorge
53:30 A qué se dedica actualmente Jorge
59:06 La importancia del dinero
01:02:27 Los planes a futuro de Jorge
01:10:52 La creación de Hawkers
01:23:10 El por qué Jorge ha preferido sentar cabeza
01:25:20 Posible biopic de Jorge Lorenzo
01:27:36 La importancia de la salud para Jorge
01:33:43 Jorge y la relación con los haters
01:44:12 Como vivió Jorge el éxito de Hawkers 
01:51:23 Las preguntas de Chat GPT 
01:56:30 La casa de Jorge Lorenzo 
02:01:00 Final

@alexhawkers
@aleksnchz
@oscsa
@jorgelorenzo99

Detrás de las camaras:
@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: 8BQDPZYwQVw",2023-05-08T18:57:54Z,https://i.ytimg.com/vi/86m6iKROqZ8/default.jpg,[],none,22,185191,3889,317,True,PT2H5M43S,false
Rq2Ot3RGbDo,Pequeño Nicolás: La Verdad Detrás del Personaje,"En este episodio de nuestro podcast, nos adentramos en el mundo del misterio y la opulencia con Francisco Nicolás Gómez Iglesias, también conocido como el Pequeño Nicolás. Únete a nosotros mientras cenamos en un exclusivo restaurante de Madrid, descubriendo sus secretos mejor guardados, anécdotas impactantes y cómo ha logrado mantenerse en el centro de atención a pesar de las adversidades. ¡No querrás perderte este encuentro lleno de sorpresas y revelaciones!

00:00 Inicio
02:04 Las 10 preguntas de Chat GPT para el Pequeño Nicolas
02:45 ¿Qué impulso a Francisco a hacer todo lo que hizo?
06:48 Cómo ha lidiado Nicolás con la presión mediática
19:18 Las estrategias de networking del Pequeño Nicolas
22:22 Como ha afectado a Nicolas todo lo sucedido en el ámbito profesional
28:44 El sueño de Nicolas
31:29 Por qué España no avanza como país
45:36 ¿En qué restaurante están comiendo hoy?
49:27 Qué le parece la Kings League a Nicolás
52:43 La gran mentira de las estadísticas
56:45 De qué equipo es Nicolás
59:51 Alex y su NO a las drogas
01:02:19 Cómo conocieron a Nicolas
01:04:28 A qué se dedica Francisco
01:19:58 Consejos de Nicolas para hacer contactos
01:25:49 Los problemas de Nicolás (excesos, bebida, mala alimentación, ira, etc.)
01:37:19 Cómo se ve Nicolás en un futuro
01:54:03 El proximo invitado
01:56:09 Despedida

@alexhawkers
@aleksnchz
@oscsa
@fnicolasgi

Detrás de las camaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: DVWNo2m0dq5",2023-04-30T18:37:23Z,https://i.ytimg.com/vi/Rq2Ot3RGbDo/default.jpg,[],none,22,293022,5959,515,True,PT1H56M5S,false
uDf-wA3LtBM,Nil Ojeda en el Desierto: La Historia Del Mejor Creador de Contenido Del Momento,"Bienvenidos a otro episodio de nuestro podcast, donde nos sumergimos en la vida y experiencias del famoso streamer Nil Ojeda. Únete a nosotros en este lujoso Airbnb situado en Granada, una ciudad llena de historia y cultura. Descubre cómo Nil ha logrado conquistar el mundo del streaming mientras disfrutamos de la belleza y el encanto de este exclusivo alojamiento. ¡No te pierdas este episodio lleno de risas, aprendizajes y, por supuesto, mucha diversión con Nil Ojeda!

@alexhawkers
@aleksnchz
@oscsa
@nilojeda

Detrás de las camaras:

@bymarcopolo
@juandefrancia

Get Mount Everest by Labrinth and over 1M + mainstream tracks here https://go.lickd.co/Music

License ID: J8xGM5VwNoz",2023-04-23T18:00:20Z,https://i.ytimg.com/vi/uDf-wA3LtBM/default.jpg,[],none,22,421150,15943,906,True,PT1H51M34S,false
