video_id,transcript
BAyP-BYl2rw,"el boso negro o el boso gris o el boso p
por ca del boso per mono o por otro
color que usted quiera per Aquí tengo el
mono ha ha cierto que miente cualquier
cosa lo
corto no yo lo pinto de negro
en cada lado del bzo manito aquí estamos
eso Tirando La la casa por la ventana me
encanta la gente atrevida que está
dispuesta a todo es la gente que es
capaz de conquistar el mundo por 14 F
obvio Y cuánto me ha si me pinto los
pelos del
[Música]
amig todo el mundo que los pagamos papi
reto porque quier hacer algo raro
estamos dispuestos llámenme Uy que la
energía de San José estuvo muy sapa
muy chimba y hoy también está como que
estamos a dos pasitos de que esta [ __ ]
se llene de full entonces seguramente la
enería también va a estar vea
cargadísimo todo pues estamos más
contentos quea ya el el tcito en el bus
empezó que se mueve la camita sabrosito
se levanta uno Desayuna está con La
Tropa Ahí junticos todos los buses
junticos entonces vea una belleza Ah
Estoy manejando la camarita Gracias a mi
muchacho aquí mi director que me dijo
papi con esa cámara G usted que hace
planos bien desenfocados y bien movidos
bien chimbas bien de esos esos que son
feos pero que sirven entonces con la
camarita a mano papi exacto y estoy
trabajando desde el stage corriendo como
un Marrano pegándome a todos los
muchachos una belleza Cómo tien los
piecitos papi a yo le muestro las comas
las comas de de los pies No ya lo vieron
ya los posteé elel ha sido Volador de
dron ha sido ha sido manager ha sido
ayudante ha sido edito no sabemos dónde
acomodarlo no sabemos dónde lo vamos a
seguir poniendo pero es es un muchacho
que siempre destaca en donde se ponga yo
digo que como promotor e inversionista
el molo yanke tenemos que darle darle
trabajo recuperar esa cuenta molo yanke
por favor devuélvela devuélvela que aquí
tenemos al original A mí que me escuchas
te mandé el saludo devuélvela molo yan
por
favor el molo Yankee Hola Buena por el
molo Yankee papi lo llevo aquí en el
corazón
pap con el corazón caliente y amoroso
Hola Verónica cómo estás bien Mariana
Verónica con una palabra tú Cómo
describirías el ferch calipsis increíble
increíble este año es top cuál es tu rol
cuál es tu rol en este grandioso equipo
yo acompaño los gastos es decir los
ingresos y los gastos de todo el Tour e
voy como en ese seguimiento del día a
día la plata Cómo la has pasado yo paso
demasiado bueno o sea esto es una
guardería esto es demasiado divertido
acá nunca se pasa maluco nunca faltan
las historias Qué grandes momentos Qué
buenos recuerdos tenemos nada más y nada
menos que a esta escondiendo y no lo
logré Hola Bueno Pablo queremos que nos
cuentes un poquito sobre tu rol en este
grandioso equipo mi rol es hace el
ridículo 247 porque no el Production
manager se encarga de es como un equipo
de fútbol yo armo el equipo de fútbol
pero la parte técnica y organizamos yo
tengo las alineaciones para todos los
partidos y que todos los días sea lo más
parecido posible a las ideas que
teníamos desde el principio y ya es que
todos los días lo logremos a tiempo y
que no se nos pierda ni un tornillo Y
que todos hagan bien su trabajo bueno
eso lo hace cada uno pero pues acompañar
a que todo el mundo haga bien su trabajo
ir adelantando las otras ciudades ya
nada más suena fácil no estoy cansado
jefe to Y si tuvieras que describir el
ferch calipsis en una sola palabra cuál
sería es cumplir un sueño llegó el
momento de la entrevista con
Julia Hola Mi nombre es Julia Valentina
do nacimiento de afonte y mi cargo es el
pchain Julia Valentina de nacimiento de
fonte cuéntanos cuál es tu tu día a día
algo que te guste hacer como te sentido
No aquí en el Bueno un día de tour un
día de show previso que tengamos toda la
ropa del show lista ordenadita pensad
zapat No sé qué probablemente voy a
producción para hablar cosas logísticas
regreso hablo con Mariana Mariana que V
a poner en el show Mariana ya tengo
miista Okay okay Pedro Okay no hao nada
después có paseo como ahorita que estoy
pasando las muchachas porque me están
enseñando los puntos de merch bello
precioso no es parte mi trabajo pero es
parte miab ser compañera y amiga luego
llegamos al camino no se cambia todo
listo no s qué me voy y espero ahí
sentadita a que el show empiece hay
rumores de que están buscándole un
pretendente a Julia Valentina en redes
sociales Así que si tú quieres ser uno
de los postulados que le eche
bolas llegó el momento de mi fez e eh
cuéntanos Cuál es tu rol en este equipo
tan completo Okay soy el director de
iluminación del del show nada nos
encargamos de que realmente todo la
programación salga exactamente como se
planeó en el previo eh Y ahorita Estamos
ya terminando posiciones eh algún
arreglo de color para todos los shows
como que cada show Vamos como arreglando
y puliendo un poquito todo nombre
completo apellido y cargo Miguel eh
tengo un segundo nombre que es más
vieira eh Soy ingeniero de front of
House Eh bueno no ha sido una chimba
todo porque ha sido muy retador primera
vez que hacemos un 360 tenemos un equipo
gigante los mejores del mundo en audio
en video en luces me sentí muy
emocionado qué chimba qué chimba la
gente como Grita en el par la gente est
a tope San José estuvieron a tope y
bueno vamos a ver cómo no va con ese
frío hoy Bueno cuál es esa canción que
gritas y que no no te puedes perder
[Música]
la no es como antes ahora Llegamos y nos
tratan como gangster si salimos pegamos
bastante si ríamos porque rían los
[Música]
diamantes mir qué breve fue hoy
[Música]
el
emocionado todos
[Música]
[Música]
[Aplausos]
rancho mi apito nos metieron al putto
rancho mi apito tráeme la
polic es que buscando la hermana hay no
está buscando la salida Sí cómo
noo soy unano perz
a la policía arte unano Pacífico intenté
detener ese acto de violencia en lo que
más se pudo pero pues ellos tienen sus
reglas pues ahí no se perdió media listo
para al chisme que es órgano es corrupto
asqueroso
odio hij [ __ ] show Qué gran hijo de [ __ ]
verdad lo mejor que vi a la de varios
ángulos La mejor parte la mejor es el
coso la explicación de la de Qué es la
la gente Se
preguntará qué es nadie sustenta para
qué es o sea de nuestro impuest brinda
seguridad cobra impuestos o sea es el
que mantiene todo eso todo sobre todo
cobra impuestos el que el que pavimenta
las calles del inframundo en en eori le
dije a todo el mundo todo el mundo
haciendo el métele bello ponte bailar y
todo el mundo
vea es esa hijo DEA Torre que y yo
Jesucristo que eso no se vaya caer
manito felicitaciones put requis de la a
ver a ver
presente tengo una op Muchas gracias por
este capítulo la pasamos muy bueno
muchachos lastimosamente nos va a tocar
llevarnos a este prófugo para el
calaboso de la policía de las tetas
porque no tiene
documentos y está viendo no por Oiga y
la policía de las debería estar en el
after de sevita all si quieren estar
pasando cosas terribles sod cómicas
nuestro corresponsal nos vemos aquí"
lXmzy6kIYyc,
nYy3J13nKKQ,
Q2ftMmazZCU,"♪♪♪
♪ ANTES DE QUE TE VAYAS A IR ♪
♪ TE QUIERO DAR GRACIAS POR
LO QUE PUDE VIVIR ♪
♪ ME HECISTE TAN FELÍZ ♪
♪ TODO ESTE TIEMPO JUNTO A
TI ME HIZO CREER ♪
♪ EN TODAS LAS COSAS QUE ME
HABLARON DE TI ♪
♪ BEBE SI TU NUNCA CAMBIASTE ♪
♪ YO YA NO SOY EL
QUE ENCONTRASTE ♪
♪ DESPUES DE TODO ME PAGAS ASI ♪
♪ ESTOY MEJOR SIN TI ♪
♪ ASI ME QUEDE ROTO ♪
♪ DE ESA FIESTA EN BERLIN
SOLO NOS QUEDA LA FOTO ♪
♪ MAMI NO LLORES POR MI ♪
♪ SI TU YA TIENES A OTROS
TU NO ERAS ASI ♪
♪ JODISTE LO DE NOSOTROS ♪
♪ EN QUE PUTAS PENSABA ♪
♪ COMO NO VI QUE TU
ME ENGAÑABAS ♪
♪ Y VOS CAGADA TRAS CAGADA ♪
♪ YO ARREPENTIDO YA NI FUMABA ♪
♪ LOS PANAS DICIENDOME
QUE SALIERA MOS ♪
♪ YO EN LA CASA CASA SOLO
ESPERANDO POR VOS ♪
♪ LA CHIMBA UNO NO CAMBIA UN
CULO POR LOS BROS ♪
♪ NO VUELVE A PASAR SE LO
JURO POR DIOS ♪
♪ TOA’ LA FUNDA QUE TENGO CON
OTRA LA VOY A GASTAR ♪
♪ BABY YA NO LLORES SI TOTAL
VAMO’ A TERMINAR ♪
♪ BEBÉ GRACIAS POR NADA NO TE
PONGAS SENTIMENTAL ♪
♪ PERDONAME POR TANTO YO
PENSÉ QUE ESTO ERA REAL ♪
♪ ESTOY MEJOR SIN TI ♪
♪ ASI ME QUEDE ROTO ♪
♪ DE ESA FIESTA EN BERLIN
SOLO NOS QUEDA LA FOTO ♪
♪ MAMI NO LLORES POR MI ♪
♪ SI TU YA TIENES A OTROS
TU NO ERAS ASÍ ♪
♪ JODISTE LO DE NOSOTROS ♪
♪ TE DI DECLINE ♪
♪ YO EN MERO PERREO Y TU
PONIENDOTE A LLAMAR ♪
♪ HOY SOÑÉ CONTIGO PERO
SOÑÉ QUE TE VAS ♪
♪ ESAS INDIRECTAS DEL STORY
BABY NO LAS MANDES MAS ♪
♪ PORQUE YA LLEVO OTRA NOCHE
SIN DORMIR PERO DE LA
FARRA QUE ME DI ♪
♪ SI HOY ME LOS TOMO
NO ES POR TI ♪
♪ SOLO CHIMBAS Y GUARO
CON LAS FIRMAS ♪
♪ ANTES DE QUE TE VAYAS A IR ♪
♪ TE QUIERO DAR GRACIAS POR
LO QUE PUDE VIVIR ♪
♪ ME HICISTE TAN FELÍZ ♪
♪ TODO ESTE TIEMPO JUNTO A TÍ ♪
♪ ME HIZO CREER EN TODAS LAS
COSAS QUE ME HABLARON DE TÍ ♪
♪ BEBÉ SI TU NUNCA CAMBIASTE ♪
♪ YO YA NO SOY EL
QUE ENCONTRASTE ♪
♪ DESPUES DE TODO ME PAGAS ASÍ ♪
♪ ESTOY MEJOR SIN TÍ ♪
♪ ASI ME QUEDE ROTO ♪
♪ DE ESA FIESTA EN BERLÍN
SOLO NOS QUEDA LA FOTO ♪
♪ MAMI NO LLORES POR MI ♪
♪ SI TU YA TIENES A OTROS ♪
♪ TU NO REAS ASI JODISTE
LO DE NOSOTROS ♪
♪♪♪"
95XbP8entT8,"pelo
tuyo
Hola Bien Cómo te fue
viendo Mira mataste a
eso qué Para que
ve ese el tercer piso está Eh quiero
verlo desde desde arriba desde un
lado
increíble increíble Solo que ya llevo un
ratico con el profe pero é es y todo el
mundo salía subando el
concierto Sí porque yo haía Apagar los
aires diciendo que los aes me están
dañando la voz y eso lo llevé hasta el
extremo que me dio que reflujo me empezó
a ir la voz me tocó hacer una dieta un
montón de cosas y ya con este profe ya
ya te dio cuenta que no me tocó
desaprender a como cantab y Aprender a
cantar de otra forma Esto no es como
cuando uno va al estudio y graba o tiene
un show dentro de 15 días acá es yo ya
en mi mente s que este año hay 90 shows
y son dos horas cantando o sea es todo
el
tiempo no y movi aquí para allá Ajá es
una vuelta a
no soy corista porque yo pues lo hago en
per pero igual cuando yo hacía los coros
era Como así también pasito y después
uno se va cogiendo como ya más
s
[Música]
Ah lanza llamas que no es aburrido el
Inframundo Larry aquí trabaja cambur
caballero allá en la esquina cómo están
queros
rica pista obviamente aquí puede entrar
cualquier persona menos caco
ruy e le el estado físico para ir más
rápido por
favor est es uno de los puestos de citas
y él habl por
aquí después se dará cuenta de lo que
pasó con ese micrófono aquí es una
trampa lar que no sabe esto tira fuego
y cuando esté
pasando aquí tenemos un inro usted no
debería estar aquí en playa alta tampoco
pero estar aquí pero necesit estar para
poder ver
esaan meti
mic hasta la próxima
pero yo quiero estar completico todo el
Tour yo voy a usar las escaleras como
una persona civilizada una persona de
bien no como gamin necesidad necesidad
de arriesgar el Tour necesidad de
contratar guitarrista muchachos
cuidémonos una
entrevista lar
[Música]
[Música]
llegaron en tod cara diamantes anillo
ru bab llegan una paita ot
deot ex Miami los
busc una
paot
mi cámaras de vacaciones váquez ve inur
stage tocó volverlo a apretar todo des
ajustó dolor
sangre adrenalina el drama vende estoy
esperando que se me quite me pare de
sangrar este golpe Mira esto es
increíble la verdad que yo nunca había
visto algo así Y mira que yo he visto
cosas momentos de aparición
estelar estamos preocupados porque
crearon una cuenta del molo Yankee y
están extorsionando a fel por interno
diole que no le van devolver la cuenta
anoche me iba a acostar tranquilamente y
me fui a mi cama acostarme
tranquilamente yo que me sigue el molo
Yanki el molo Yanki soy yo y yo pero qué
pasa aquí ha algo raro el pelado está
preocupado que porque yo lo voy a tumbar
la cuenta y no le voy a mandar el saludo
y le dije que le da un jud si nos viamos
en Medellín y todoo lo que estás
haciendo con la
[Risas]
marca de quién van a hacer esas llamas
mí
y el ferco está acorralado por las
llamas él dice que que es un homenaje es
un Cómo es que se llama eso un exorcismo
sac sobre todo quién el que tiene unas
en el show Y quién tiene al fercho
acorralado la ror con per por el tapete
cuando a editar el el video de la vida
de Carlitos alguna vez está que listo
está al otro lado que en dos semanas
sale hace dos años llevan en eso
años estar diferente ten especial del
Día Carlitos trompo en la boca porque
pierde el día se cierra con que pierde
el jf
horrendamente es casi llorando los
gritos en
eseit tiene que inventar
trabajo
los es momento deí hacer ese trabajito
[Música]
Papi
[Música]
[Música]
papi Pero hay guitarras nuev Hay cosas
nuevas hay sorpresas sorpresas hay otra
guitarra que no está aquí hay dos que no
están aquí se nos creció el
negocio
cuerdas pescado nada pues va ir mal"
i-3YNEMsMG0,"estamos listos
Colombia estamos listos estereo
picnic por aquí
los los poderes que mar todo el poderos
cables es que los crespitos atrapan
mucho el
viento las carreras no le están dando no
hay que
subir es
el pensarte como te pienso el tiempo sin
darte aumenta el suspenso y somos al la
cama el Lienzo puesto para acabarnos
desde el comienzo pirata y un tesoro ya
no estoy en plata contigo
cor desit
horas DEA y que sean poros est
entrenando ya para el ferchal Gracias
amor por venir a Bogotá gracias por
venir al estereo picnic more te amo
Primera fila para ti a donde sea por ti
Te amo fercho te amo salo fercho parcero
Gracias por tu música tu música me salvó
la vida Te amo mucho queé chimba se
viene el fercho calipsis papá percho por
favor de todo corazón vuel a Puerto Rico
inmediatamente estamos obsesionados
contigo te amamos te extrañamos te
amamos demasiado eres el mejor del mundo
e fercho un saludo amor Yo veré a darla
tod allá arriba no bolo te amo e e e e
bien o qué e fercho la verdad estamos
inmensamente agradecidos de parte de
Cali te queremos dar las gracias por lo
que estás haciendo por la que estás
trayendo a nuestra
ciudad estás poniendo a soñar un poco de
gente Gracias por todo conor Dios lo
bendiga nos vamos a dejar el bzo este me
un hombre e el verdadero sin palabras
Dios lo bendiga hermano para el mundo
entero bro
cumplido que quiero verte me contaron
que votaste el Ciro para siempre una
noche me pedías y nunca podías verme
mami entiendo queer viciosa pero es que
hoy es viernes fiesta ella quiere
maliante prende la tiene plata tiene
billete los paris ella no se piele
festa quiere m prende la tiene plata
tiene
billete no se pierde si s de fiesta Noa
se arrodilló Yo que pensé que
eraa
nunca Venga pues
yo de ti no supe qué día te olvidaste de
mí Muchas gracias
Bogotá Muchas gracias Colombia
amor les pague y les
multiplique gracias por venir al estereo
picnic del fercho amor
nos vemos pronto si Dios quiere amor
Muchas gracias acuer que el no se le
dedica cualquier
[Aplausos]
[Música]
amor [ __ ] romper a miit los
felicito buenas
vibras
felicitaciones pero perfecto todo hón
todo todo todo perfecto estamos el pre
la pretemporada de los shows estamos
exactamente a un m de que empiece el
verch calipsis rompimos Argentina chile
Paraguay Colombia hoy Esto hijo de [ __ ]
porque obviamente estamos en la casa del
fercho camos muy chimba eh flores les
quiere decir unas palabras flores qué
opinas flores de conto de hoy que muy
chimba la energía la verdad esta gente
de acá le metió durísimo molo molo molo
unas palabras de fi tembló
tembló unas palabras de K unos drones
increíbl no que te digo amor creíble
[ __ ] todo bonito todo bello todo
precioso
mano venga sólido es ch humano bien
bonito Bueno amor Muchas gracias por
estar presente en la pretemporada
vacaciones morte recuerden suscribirse a
nuestro canal B dar nuestras
aplicaciones Recuerden que estamos
también en el 522 22 23 Dale para seguir
al capítulo siguiente chao"
k3Bf5VexjIo,"[MOTOR DE AUTOBUS]
[LIBERACIÓN DE AIRE A PRESIÓN]
[BOCINA DE AUTOMOVIL]
(POP)
♪♪
♪♪
[PIRLO] ( OIGA, MI NEA
NO LO ENTIENDE A UNO, JE)
(AY, DIOS MÍO)
[ FEID ] ♪ OYE MI AMOR AHORITA
TÍRESE ♪
♪ QUE VOY PA EL PARTY ♪
♪ ME DICE SI LO QUIERES EN
MEDALLO O TE METO EN CALI ♪
♪ CON TODAS LAS NEAS
LAS GATAS FELICES ♪
♪ VENIR SIN ROPA ES NECESARIO ♪
[ FEID ] ♪ GAFAS OSCURAS
AL SALIR EL SOL ♪
♪ AY COMO BAILA
DE RICO MI AMOR ♪
♪ ESTABA RETIRADITA
DE LA CALLE ♪
♪ PERO EL PERREITO
LE SIENTA MEJOR ♪
[PIRLO] ♪ DENTRO DE LA DISCOTECA
LAS BOTELLAS, EL PRIVADO, ♪
♪ VIP CON LA PANDILLA ♪
♪ Y COMO 10 CULOS AL LADO, EH! ♪
♪ YO SÉ QUE TODAS
QUIEREN DÁRMELO ♪
♪ NINGUNA ME HA NEGADO ♪
♪ ESO ME PASA DE TO’
DESDE QUE ESTOY VOLAO’ ♪
♪ TRAJE AL FERXXO DE MIAMI,
LO METIMOS PA EL POBLADO ♪
♪ FIESTA ÉLITE,
YO SOY UN INVITADO ♪
♪ PERDONE SI ME VEN FRONTEANDO ♪
♪ ES QUE AHORA ESTOY VIVIENDO
LO QUE ME SOÑÉ DESDE PELAO’ ♪
[ FEID ] ♪ OTRA NOCHE, LOBA GATA
BANDIDA (BANDIDA) ♪
♪ CALLAÍTA', NADA
DE CELOS ESCONDIDA,
(A ESCONDIDA') ♪
♪ ESTA NOCHE LE VOY A DAR LO
QUE ME PIDA LO QUE ME PIDA ♪
[DUO] ♪ ¿CÓMO ES PA' QUE
ME SUELTE ESE FICHO?,
¿CÓMO SERÍA? ♪
♪ (EY, ¿ESA CUÁL ES OME?) ♪
[ FEID ] ♪ EL PISO LLENO
DE BILLETE ♪
♪ TODAS LAS BABY
SUELTAS COMO GARETE ♪
♪ ASARAITA CON LA RATA
Y EL SIETE (SISAS) ♪
♪ YA NO ESTÁ SUBIENDO COMO
COHETE (WOW) ♪
♪ TODA SORNE, MERA ENERGÍA ♪
♪ BAILA ,NO TE DESPIDAS ♪
♪ MAMACITA QUE RICO SERÍA ♪
♪ TÚ Y YO HASTA EL OTRO DÍA ♪
[PIRLO] ♪ AHORA SI QUERÉS
VOLVER ♪
♪ PORQUE VISTE QUE HOY
ESTOY MEJOR QUE AYER ME ♪
♪ ME QUIERE HACER DAÑO
Y ME QUIERE ENVOLVER ♪
♪ ELLA LLEGÓ DESDE QUE VIO ♪
♪ DESDE QUE ME AUMENTÓ
EL PODER ♪
♪ AHORA SÓLO ESTA
LLAMANDO PA COGER ♪
♪ AHORA SI QUIERES
VOLVER PORQUE VISTE ♪
♪ QUE HOY ESTOY MEJOR QUE AYER ♪
♪ ME QUIERE HACER DAÑO
ME QUIERE ENVOLVER ♪
♪ ELLA LLEGÓ DESDE QUE VIO
DESDE QUE ME AUMENTÓ EL PODER ♪
♪ AHORA SOLAMENTE
LLAMA PA’ COGER (AUH) ♪
[ FEID ] ♪ OTRA NOCHE LOBA GATA
BANDIDA ♪
♪ CALLAÍTA', NADA DE CELO
A ESCONDIDA ♪
♪ (UY!) ♪
♪ ESTA NOCHE LE VOY A DAR YEAH!
LO QUE ME PIDA LO QUE ME PIDA ♪
♪ ¿CÓMO ES PA' QUE ME SUELTE
ESE FICHO?, ¿CÓMO SERÍA? ♪
♪ OOO, OTRA NOCHE LOBA GATA
BANDIDA (BANDIDA) ♪
♪ CALLAÍTA' NADA
DE CELO ESCONDIDA (UY) ♪
♪ ÉSTA NOCHE LE VOY A DAR LO
QUE ME PIDA, LO QUE ME PIDA ♪
♪ ¿CÓMO ES PA' QUE ME SUELTE
ESE FICHO?, ¿CÓMO SERÍA? ♪
♪ YEAH! ♪
♪♪"
uD0kjChWCkg,"♪ 29 ♪
♪ OKAY OKAY YO AK ♪
♪ SOY TU PRINCIPAL FANÁTICO ♪
♪ AÚN TENGO ESA FOTO GUARDADA
TODAVÍA CON TODAS TUS PARTES ♪
♪ PENSANDO EN COMO TE METÍA ♪
♪ NO PUEDO OLVIDARTE ♪
♪ ES QUE QUIERO QUE VUELVA Y
ME MIENTAS COMO TU LO HACÍAS ♪
♪ PERO PASÁBAMOS BIEN ♪
♪ COMIÉNDONOS DÁNDONOS PLACER ♪
♪ PERO ♪
♪ TU ALLÁ Y YO AKÁ PENSÁNDONOS
DE LEJOS TOCÁNDONOS ♪
♪ EY ♪
♪ CREO TU ALLÁ Y YO
AKÁ PENSANDONOS
DE LEJOS TOCÁNDONOS ♪
♪ WOW ♪
♪ ESAS GANAS NO
COLABORAN NI CHIMBA ♪
♪ TU SIEMPRE ME HAS GUSTADO
DESDE QUE YO ERA UNA CHINGA ♪
♪ QUE BORRACHERA
EL 24 EN LA FINCA ♪
♪ ANDO MIRANDO LOS VIDEOS
YO QUITANDOTE LA PINTA ♪
♪ ESE CULITO EN MI SPOT CUANDO
ESTOY CON ELLA NO MIRO EL CLUB ♪
♪ SE EMBORRACHA Y ME MANDA
PAR DE FOTOS EN EL CLOSE ♪
♪ SHE SAID SÍ I
JUST WANNA FUCK ♪
♪ QUE ESTÁ FUMANDO
MERA TRAVIS SCOTT ♪
♪ ESTA DURA LA BEBÉ ♪
♪ QUE HIJUEPUTA ELLA SE VE ♪
♪ LA CARA, SU CUERPO, SU FLOW,
LAS GAFITAS ESTÁ CHIMBA
POR DONDE LA MIRES ♪
♪ ESTÁ DURA LA BEBÉ QUE
HIJUEPUTA ELLA SE VE ♪
♪ TE PASAS TWITEANDO MIS TEMAS
YO SE QUE TU TAMBIÉN
ME EXTRAÑAS BEBÉ ♪
♪ PERO ♪
♪ TU ALLÁ Y YO AKÁ PENSÁNDONOS
DE LEJOS TOCÁNDONOS EY ♪
♪ PERO ♪
♪ TU ALLÁ Y YO AKÁ PENSANDONOS
DE LEJOS TOCÁNDONOS ♪
♪ MAMI YO TENGO ASTINENCIA DE
METER TU ENERGIA EN
MI CONCIENCIA ♪
♪ ME GUSTA EL AJETREO
QUE TU CAUSAS EN MI ♪
♪ EN SERIO ME
ENCANTA SENTIRME ASÍ ♪
♪ ME MATA TENERTE ENCIMA DE MI ♪
♪ SOMOS DOS MAZOQUISTAS
EN BUSCA DE AMOR Y PLACER ♪
♪ AUNQUE YO NO SÉ AMARTE Y
NO CREO QUE TU LO SEPAS ♪
♪ SOLO BUSCAMOS PLACER PERO ♪
♪ TU ALLÁ Y YO AKÁ PENSÁNDONOS
DE LEJOS TOCÁNDONOS EY ♪
♪ PERO ♪
♪ TU ALLÁ Y YO AKÁ PENSANDONOS
DE LEJOS TOCÁNDONOS ♪
♪ AH ESE ♪
♪ ES EL JHAY P MA ♪
♪ DESDE UN RICON DE MEDALLO ♪
♪ DIGALE FAZE ♪
♪ NORMAL ♪
♪ VIENDO COMO SIEMPRE MI AMOR ♪
♪ QUE NO SE ASUSTE ♪
♪ HAY HOMEEEE ♪
♪ BABY ♪
♪ MAMI USTED SABE QUE
ESTO ES PARA USTED ♪
♪♪
♪ (TU ALLÁ Y YO AKÁ PENSANDONOS
DE LEJOS TOCÁNDONOS) ♪"
AZgUhoCGmrs,"Gracias por pachar con el percho esta
noche amor Acuérdate que el percho no se
le dedica cualquier amor Dios los
bendiga amor pasen la bien rico
[Aplausos]
Gracias
12:16 LoL a las 12:15 en esta temporada
Pedro ha sido el más incumplido del
horario Entonces el más cumplido y el
más cumplido se intercambiar los papeles
con el
gran hay un meme hay un meme que cuenta
leyenda que dice y veníamos en la monro
y Y esa pendiente ahí hay que subir y
bajar subir y bajar porque medio
trambólico
y y me hizo bola ahí por la arbolea que
ahorita lo está buscando y buscamos
yaguay alguien le habla Aquí qué le
dicen Hola bienvenida a tu cuarto y Yo
volé de él Ah yo siento que van a decir
y Yo volé de él y subí y baja trambólico
un boticoedidte
está haciendo frío han estado brutales
eh triste porque hoy no vamos a tener
los drones Y es de mis cosas favoritas
de ver pero me ha encantado estar en
tour oliendo el elixir no tenía este
elixir en miatas desde diciembre me
tomado un trago estamos a marzo V tres
meses sin
beber más borracho Le puedo hacer una de
sixo
ya pero de la falch que viene porque ya
huele cua que
una crema una cuerda ch working Gear
antip cuca antip
altísimo por qué no podemos tener ese
metabolismo de no que toma un agua y ya
está gordo en es lo que dice
Carlitos el
gesto hacerme un montaje de loito
acá y yo le paso un poquito de lo mío
pluma
[Risas]
encontré ojos
así quién vota por el lapicito de Feli
yo les puedo mostrar el lapicito mono el
lapicito mono el lapicito mono mono el
lapicito no degradado sino con un lado
así duro no es que quo como no es que
lapicito mira mir lapicito mordido to un
avance pero pero pero que que se quite
la
arma si hace la pisito Me quito la barba
selo está diciendo que se quita la bar
así no queda como la otra
punta est feliz con el lapicito Y qué
mandíbula perro cuando no está
torcida parece un matón ruso yo voy a
decir que que por favor que lo que lo
haga por
nosotros que ojalá lo hiciera por
nosotros por su familia por su equipo de
trabajo por ustedes porque por mí si no
se va a mostrar se va Mostrar por su
gente
[Aplausos]
Paraguay mucha gente con las gavitas del
fercho con la gorra con el
bozo las chimbitas yo las veo dónde est
las chimbit
[Aplausos]
imagino
te Valentino
[Música]
yeah baby Bienvenido al Part tú eres una
B con cuerpo de barb yeah no que no
tiene se pone mi se sube la d es otra
cosa pero mi corillo dice que es
peligrosa t me aperta es una chimba a la
que llega y a la deosa no le pongo
frenos esas nalgas me la p el suelo si
sea no le gusta lo normal es extremo
y s que no es nada formal pero
dame esta
[Música]
noo Pedro es un caballero para se mano
mano mano más que un caballero un
warrier un soldado pero más que un
soldado Un héroe un Héroe de leyenda es
más es más no cualquier héroe esos de
Primera fila que van y sacrifican sus
vidas e e lo tenemos aquí arriba lo
tenemos aquí arriba
ars más arriba
que
caballero guitarra unaides
tengo hizo Pedro desde Paraguay
despedimos el capítulo señores gran
concierto para qu
Paraguay Oh"
VKJkdw2Mzpw,
