videoId,title,description,publishedAt,thumbnail_url,tags,live_broadcast,categoryId,viewCount,likeCount,commentCount,licensed,duration,caption
BAyP-BYl2rw,VACAXIONESTV CAP009,VAVAVAVCACACACAXIXIXIXIONEEESHHHH Mor velszqueeeeeeexxxxx,2024-08-09T19:00:07Z,https://i.ytimg.com/vi/BAyP-BYl2rw/default.jpg,[],none,24,30259,2546,113,True,PT8M37S,false
lXmzy6kIYyc,VACAXIONESTV CAP008,Apenas estA EMpzanDO el tour morrrrr VACAXIONEESSSSSS,2024-06-25T14:27:29Z,https://i.ytimg.com/vi/lXmzy6kIYyc/default.jpg,[],none,24,127092,5468,218,False,PT6M51S,false
nYy3J13nKKQ,VACAXIONESTV CAP007,VAcaxioneSSSssss morvelaxxxxkeXXxXxXXXXX,2024-06-23T03:31:31Z,https://i.ytimg.com/vi/nYy3J13nKKQ/default.jpg,"['feid', 'ferxxo', 'ferxxo mor', 'feid vacaxiones documental', 'feid documental']",none,24,62719,3568,228,False,PT6M6S,false
Q2ftMmazZCU,Feid - SORRY 4 THAT MUCH (Official Video),"Escucha ‘SORRY 4 THAT MUCH’ en tu plataforma favorita: https://feid.lnk.to/S4TM!YTD 

Suscríbete al canal de YouTube aquí: https://smarturl.it/FeidYT
  
Conecta con Feid en redes sociales:
Instagram: https://www.instagram.com/feid    
Facebook: https://www.facebook.com/feidMDE    
Tik Tok: https://www.tiktok.com/@ferxxo444 


LETRA


Antes de que te vayas a ir
Te quiero dar gracias por lo que pude vivir
Me heciste tan felíz
todo este tiempo junto a ti me hizo creer
En todas las cosas que me hablaron de ti
Bebe si tu nunca cambiaste
Yo ya no soy el que encontraste
Despues de todo me pagas asi
Estoy mejor sin ti
Asi me quede roto
De esa fiesta en Berlin solo nos queda la foto
Mami no llores por mi
Si tu ya tienes a otros tu no eras asi
Jodiste lo de nosotros
En que putas pensaba
Como no vi que tu me engañabas
Y vos cagada tras cagada
Yo arrepentido ya ni fumaba
Los panas diciendome que saliera-mos
Yo en la casa casa solo esperando por vos
La chimba uno no cambia un culo por los bros
No vuelve a pasar se lo juro por Dios
Toa’ la funda que tengo con otra la voy a gastar
Baby ya no llores si total vamo’ a terminar
Bebé gracias por nada no te pongas sentimental
Perdoname por tanto yo pensé que esto era real
Estoy mejor sin ti
Asi me quede roto
De esa fiesta en Berlin solo nos queda la foto
Mami no llores por mi
Si tu ya tienes a otros tu no eras así
Jodiste lo de nosotros
Te di decline
Yo en mero perreo y tu poniendote a llamar
Hoy soñé contigo pero soñé que te vas
Esas indirectas del story baby no las mandes mas
Porque ya llevo otra noche sin dormir pero de la farra que me di
Si hoy me los tomo no es por ti
Solo chimbas y guaro con las firmas
Antes de que te vayas a ir
Te quiero dar gracias por lo que pude vivir
Me hiciste tan felíz
Todo este tiempo junto a tí
Me hizo creer en todas las cosas que me hablaron de tí
Bebé si tu nunca cambiaste
Yo ya no soy el que encontraste
Despues de todo me pagas así
Estoy mejor sin tí
Asi me quede roto
De esa fiesta en Berlín solo nos queda la foto
mami no llores por mi
si tu ya tienes a otros
Tu no reas asi jodiste lo de nosotros

 #Feid #SORRY4THATMUCH

Music video by Feid performing SORRY 4 THAT MUCH. © 2024 UMG Recordings, Inc.

http://vevo.ly/Ju0wXz",2024-06-07T00:00:12Z,https://i.ytimg.com/vi/Q2ftMmazZCU/default.jpg,"['Feid', 'sorry that much', 'sorryy for that much', 'feid sorry that much', 'sorry that much feid', 'Brokix', 'Quiles', 'Sueños Perdidos', 'ferxxo 151', 'brickell', 'MANIFESTING20-05', 'FERXXOCALIPSIS', 'alakran', 'Rema', 'Bubalu', 'nueva cancion feid', 'sorry that much letra feid', 'Karol', 'niña bonita', 'porfa remix', 'chimbita', 'ey chory', 'feid canciones', 'feid canción nueva', 'relajate feid', 'feid 19', 'feid álbum', 'esteban rojas', 'feid', 'feid cantante', 'feid latin Grammy', 'porfa']",none,10,35945758,310304,8134,True,PT3M54S,true
95XbP8entT8,VACAXIONESTV CAPITULO006 ENSAYOS,VACAXAXAAAA MORVELASSSKAXXXXX,2024-05-15T03:25:43Z,https://i.ytimg.com/vi/95XbP8entT8/default.jpg,"['feid', 'ferxxo', 'vacaxiones tv', 'vacaxiones mor', 'feid documental', 'ferxxo documental', 'mor vacaxiones']",none,24,45969,2802,150,False,PT6M48S,false
i-3YNEMsMG0,VACAXIONES 2024 CAPITULO 005,VAVAVAVVA CACACACAC XIXIXIXIONEEE E E. E E E E SSSS MOR VELAUIIIXXXKEEEEXX,2024-05-06T02:57:43Z,https://i.ytimg.com/vi/i-3YNEMsMG0/default.jpg,"['feid', 'ferxxo', 'feid documental', 'ferxxo mor', 'feid vacaxiones tv', 'vacaxiones', 'feid nuevo', 'feid 2024', 'vacaxiones ferxxo']",none,24,71905,4013,213,False,PT5M6S,false
k3Bf5VexjIo,"Feid, Pirlo - CUAL ES ESA (Official Video)","Escucha / Stream “FERXXOCALIPSIS” on your favorite platform: https://feid.lnk.to/Ferxxo!YTD 

Suscríbete aquí: https://smarturl.it/FeidYT 
 
Listen to Feid’s top songs here: https://youtube.com/playlist?list=PLoXWIoqpqiK4Vriyu-wM6UD0yLt4s1i2w
 
Stream Feid’s TOP HITS on your favorite platform: https://feid.lnk.to/Esenciales

Connect with Feid:
Instagram: https://www.instagram.com/feid   
Facebook: https://www.facebook.com/feidMDE   
Twitter: https://twitter.com/feid
Tik Tok: https://www.tiktok.com/@ferxxo444 

Connect with Pirlo
Facebook: https://www.facebook.com/OficialPirlo420 
Tik Tok: https://www.tiktok.com/@pirlo420music 

Lyrics: 


Ay Dios mío
No lo entiende a uno
Ay Dios mío

Oye mi amor ahorita tirese
Que voy pa el party
Me dice si lo quieres en Medallo o te meto en Cali
Con todas las neas las gatas felices
Venir sin ropa es necesario
Gafas oscuras al salir el sol
Ay como baila de rico mi amor
Estaba retiradita de la calle
Pero el perreito le sienta mejor
Dentro de la discoteca las botellas, el privado, vip con la pandilla
Y como 10 culos al lado
Eh!
Yo se que todas quieren dármelo
Ninguna me ha negado
Eso me pasa de to’ desde que estoy volao’
Traje al Ferxxo de Miami, lo metimos pa el poblado
Fiesta elite yo soy un invitado
Perdone si me ven fronteando
Es que ahora estoy viviendo lo que me soñé desde pelao’
Otra noche loba gata Vandida
Calladita nada de celos escondida
Esta noche le voy a dar lo que me pida lo que me pida
Como es pa que me suelte ese ficho como sería ?
Ey esa cual es ome?
El piso lleno de billete
Todas las baby sueltas como garete
Asaraita con la rata y el siete
Sisas
Ya no está subiendo como cohete
Toda sorne mera energía
Baila no te despidas
Mamacita que rico sería
Tu y yo hasta el otro dia
Ahora si quieres volver porque viste que hoy estoy mejor que ayer me
Me quiere hacer daño y me quiere envolver
Ella llegò desde que vió desde que me aumento el poder
Ahora sólo esta llamando pa coger
Ahora si quieres volver porque viste que hoy estoy mejor que ayer
Me quiere hacer daño me quiere envolver
Ella llegó desde que vió desde que me aumentó el poder
Ahora solamente llama pa’ coger
Otra noche loba gata bandida
Calladita nada de celo a escodida
Uy!
Esta noche le voy a dar yeah! lo que me pida lo que me pida
Como es pa que me suelte ese ficho como sería
Otra noche loba gata bandida
Calladita nada de celo escodida
Esta noche le voy a dar lo que me pida lo que me pida
Como es pa que me suelte ese ficho como sería

#Feid #CualEsEsa #Pirlo #FERXXOCALIPSIS

Music video by Feid, Pirlo performing CUAL ES ESA. © 2024 UMG Recordings, Inc.

http://vevo.ly/3H7jNe",2024-05-04T01:00:30Z,https://i.ytimg.com/vi/k3Bf5VexjIo/default.jpg,"['Feid', 'Pirlo', 'ferxxo cual es esa', 'cual es esa', 'cual es esa feid', 'FERXXOCALIPSIS', 'album feid', 'feid nuevo album', 'nueva cancion feid', 'bubalu', 'ferxxo 151', 'cual es esa letra feid', 'Karol', 'niña bonita', 'porfa remix', 'chimbita', 'ferxxo', 'feid Instagram', 'feid new song', 'feid canciones', 'feid canción nueva', 'relajate feid', 'feid 19', 'feid álbum', 'reggeaton', 'PURRITO APA', 'MEDELLIN', 'COLOMBIA', 'UNIVERSAL MUSIC LATIN', 'feid cantante', 'feid latin Grammy', 'porfa', 'feid']",none,10,8156310,63473,1373,True,PT3M3S,true
uD0kjChWCkg,"Feid, Jhay P - YO AKA (Official Video)","Escucha / Stream “FERXXOCALIPSIS” on your favorite platform: https://feid.lnk.to/Ferxxo!YTD 

Suscríbete aquí: https://smarturl.it/FeidYT 
 
Listen to Feid’s top songs here: https://youtube.com/playlist?list=PLoXWIoqpqiK4Vriyu-wM6UD0yLt4s1i2w
 
Stream Feid’s TOP HITS on your favorite platform: https://feid.lnk.to/Esenciales

Connect with Feid:
Instagram: https://www.instagram.com/feid   
Facebook: https://www.facebook.com/feidMDE   
Twitter: https://twitter.com/feid
Tik Tok: https://www.tiktok.com/@ferxxo444 

Connect with Jhay P:
Instagram: https://www.instagram.com/jhayp.ma/ 
Tik Tok: https://www.tiktok.com/@jhayp.ma 

Lyrics: 

Soy tu principal fanático
Aún tengo esa foto guardada todavía con todas tus partes
Pensando en como te metía
No puedo olvidarte
Es que quiero que vuelva y me mientas como tu lo hacías
Pero pasábamos bien comiéndonos dándonos placer
Pero
Tu allá y yo aká pensándonos de lejos tocándonos ey
Creo
Tu allá y yo aká pensandonos de lejos tocándonos
Wow
Esas ganas no colaboran ni chimba
Tu siempre me has gustado desde que yo era una chinga
Que borrachera el 24 en la finca
Ando mirando los videos yo quitandote la pinta
Ese culito en mi spot cuando estoy con ella no miro el club
Se emborracha y me manda par de fotos en el close
She said sí I just wanna fuck
Que está fumando mera travis Scott
Esta dura la bebé
Que hijueputa ella se ve
La cara, su cuerpo, su flow, las gafitas está chimba por donde la mires
Está dura la bebé que hijueputa ella se ve
Te pasas twiteando mis temas yo se que tu también me extrañas bebé
Pero
Tu allá y yo aká pensándonos de lejos tocándonos ey
pero
Tu allá y yo aká pensandonos de lejos tocándonos
Mami yo tengo astinencia de meter tu energia en mi conciencia
Me gusta el ajetreo que tu causas en mi
En serio me encanta sentirme así
Me mata tenerte encima de mi
Somos dos mazoquistas en busca de amor y placer
Aunque yo no sé amarte y
No creo que tu lo sepas
Solo buscamos placer pero
Tu allá y yo aká pensándonos de lejos tocándonos ey
pero
Tu allá y yo aká pensandonos de lejos tocándonos


#Feid #YOAKA #JhayP #FERXXOCALIPSIS

Music video by Feid, Jhay P performing YO AK. © 2024 UMG Recordings, Inc.

http://vevo.ly/BpLzYt",2024-05-02T01:31:43Z,https://i.ytimg.com/vi/uD0kjChWCkg/default.jpg,"['Feid', 'Jhay', 'ferxxo yo aka', 'YO AKA', 'yo aka feid', 'FERXXOCALIPSIS', 'album feid', 'feid nuevo album', 'nueva cancion feid', 'bubalu', 'ferxxo 151', 'yo aka letra feid', 'Karol', 'niña bonita', 'porfa remix', 'chimbita', 'ferxxo', 'feid Instagram', 'feid new song', 'feid canciones', 'feid canción nueva', 'relajate feid', 'feid 19', 'feid álbum', 'reggeaton', 'PURRITO APA', 'MEDELLIN', 'COLOMBIA', 'UNIVERSAL MUSIC LATIN', 'feid cantante', 'feid latin Grammy', 'porfa', 'feid morat', 'yandel feid']",none,10,8456829,68760,2198,True,PT3M39S,true
AZgUhoCGmrs,VACAXIONES 2024 CAPITULO 004,"VAVAVVAVAVCAXXIXIXIXIONESSSSS
morrrr velaxxxxkexxxxxxx",2024-05-01T00:00:07Z,https://i.ytimg.com/vi/AZgUhoCGmrs/default.jpg,"['FEID', 'FERXXO', 'VACAXIONES TV', 'FEID DOCUMENTAL', 'FERXXO DOCUMENTAL', 'FERXXO vacaxiones', 'ferxxocalipsis']",none,24,60836,4222,174,False,PT6M4S,false
VKJkdw2Mzpw,"BROKIX, Esteban Rojas, Feid, Justin Quiles - Sueños Perdidos(Remix) [Official Video]","Listen to ‘Sueños Perdidos (Remix)’ on your favorite platform: https://brokix.lnk.to/Shuhlgrv!YTD 

Connect with Brokix:
Instagram: https://www.instagram.com/brokix/ 

Connect with Esteban Rojas: 
Instagram: https://www.instagram.com/estebanrojas06/    
Facebook:  https://www.facebook.com/estebanrojas06oficial 
Tik Tok: https://www.tiktok.com/@estebanrojas06_ 

Connect with Feid:
Instagram: https://www.instagram.com/feid    
Facebook: https://www.facebook.com/feidMDE    
Twitter: https://twitter.com/feid 
Tik Tok: https://www.tiktok.com/@ferxxo444 

Connect with J Quiles:
Instagram: https://www.instagram.com/jquiles/ 

LYRICS / LETRA


Wow
¿Dónde estás, baby? Que quiero verte
Me contaron que botaste ese pirobo pa' siempre
Una noche me pedías y nunca podías verme
Mami, yo entiendo que eres juiciosa, pero es que hoy es viernes (wow)

Cambió el amor por money, party, marihuana
No quiere ningún cabrón que le corte las alas
Bebé, estoy activo cuando tú quieras que matemos las ganas
Mami, yo sé que tú no te olvida' de cómo te mojabas (wow, nena, ah)

No es tan difícil, dame una y romping (pew, pew)
No es una semana, es una noche y morning (nena)
Si nos perdemos es pa' un glamping, sorne (shh)
En mi rancho tiene par de pantys, orden
Si quieres viajar, pues vámonos de gira (sí)
Vio que no es recocha y sabe que es el mundo que detrás mío gira (jaja)
Esta capaz, pero soy incapaz de decirle mentiras (nunca)
Lo que uno no se come no se tira, eso es mentira (y)
Sé bien que se acuerda
Así es el amor, la derecha recuerda si no está la izquierda (jaja)
Un chacal, mi amor, yo parlo es con mi jerga (así es, bae)
Esto es pa' que te guste a vos, de ahí para atrás que coman mierda (pew, pew, ew)
Eso es mentira, imposible si no te trama (yo)
Ahí en el kia están los gramos
Ya estamos sin ropa, ¿pa' qué vamos a botarnos un te amo? (¿pa' qué?)
¿Qué prendemos? ¿pa 'ónde vamos? (yeah-yeah, la nue; wow)

Cambió el amor por money, party, marihuana
No quiere ningún cabrón que le corte las alas
Bebé, estoy activo cuando tú quieras que matemos las ganas
Mami, yo sé que tú no te olvidas de cómo te mojaba'

Yo entiendo que quieras darte un tiempo sola, bebé
Si no te robo mañana, yo me arrepiento, y no aguanta, bebé
Tú sornerita, bacana
Si te dicen que soy perro, es pura fama
Mami, tu cuerpo me llama
Y yo le contesto pa' llevarlo esta noche pa' mi casa
Si quiere' prender, aquí se prende pura grasa
Ey, mami, ¿qué pasa? (wow)
Está rica, está buena, lo más chimba de la discoteca
Esta en otra, ella vuela
Y hoy se va conmigo porque ella

Cambió el amor por money, party, marihuana
No quiere ningún cabrón que le corte las ala'
Estoy activo cuando tú quieras que matemo' las gana'
Mami, yo sé que tú no te olvidas de có—có—

Como si fuera tu cumple vamo' a celebrar que te dejaste del pirobo ese
Mami, él no 'taba en tu liga, ya es hora de que regrese'
A romperla de nuevo, tú te merece' otro culo nuevo
Que si en la mañana ya no te gusta, pues en la noche te besa' uno nuevo
Ya tiene relevo
Yo te vi en TikTok con las besties partiendo perro negro
La que no me cela, yo no la celo
Si te da permiso, tu mámamelo
Quiere que el ferxxo, el j qui la partan
Lo pide agresivo y la dejamo' en alta
Como pa' los tiempos de nota y arca
Tatúate: El que ya no está, no hace falta

Íbamos sin sentido
Por la quinta locos con el cora herido
Ángeles caídos
Con las alas rotas y sueños perdidos (mmm)
Se nos pasaban las horas (horas)
Cuando estábamos a solas
Me dejaste en dos el cora
Y ahora solo pienso en dólar

Cambió el amor por money, party, marihuana
No quiere ningún cabrón que le corte las ala'
Bebé, estoy activo cuando tú quieras que matemos las gana'
Baby, yo sé que tú no te olvida' cuando yo te tocaba

La jalaba del chocker
La subía a las nubes como el popper
Yo llegaba y la estallaba como un rocket
Y ahora quieres que te olvide, dime, mami, por qué
Si era sexo, fricción y contacto (oh)
Vos sos la principal, las otras son de reparto
Tú no te olvidas lo que hicimo' en mi cuarto
Conecto con tu cuerpo con el tacto (súbele, súbele)
Es que no tenerte me da vértigo
Y por eso, mami, es que estoy tan diabólico
Tú tan sola y cali parece un zoológico
Y eso de que nos dejamos es ilógico

Tú gemías
Hasta qué la luz del día
Desfilaba por tu cuerpo
Todo es perfecto
Pero-pero somos unos rockstars
Que dizque solo nos vemos pa' chingar
Ella ni sabe que me puede salvar
Mientras la noche con el mar se va, se va, se va, se va
Entre botella y botella
Le dimo' toa' la noche entera
Sonando lo mejor de la nueva
Los brokix, esteban rojas
Las babies se pegan solas
Por ti les picheo a toa', yeah-yeah
Nos vemo' en la sucursal del cielo

 #Brokix #Feid #EstebanRojas #JQuiles #SuenosPerdidos #Remix

Music video by BROKIX, Esteban Rojas, Feid, Justin Quiles performing Sueños Perdidos (Remix). © 2024 UMG Recordings, Inc.

http://vevo.ly/39PsW2",2024-04-28T23:00:11Z,https://i.ytimg.com/vi/VKJkdw2Mzpw/default.jpg,"['Feid', 'Brokix', 'Quiles', 'Sueños Perdidos (Remix)', 'Feid Brokix', 'Rema', 'Bubalu', 'Feid Rema', 'Bubalu feid', 'bubalu rema', 'bubalu feid rema', 'nueva cancion feid', 'nueva cancion rema', 'bubalu letra feid', 'Karol', 'niña bonita', 'porfa remix', 'chimbita', 'ferxxo', 'feid Instagram', 'feid new song', 'feid canciones', 'feid canción nueva', 'relajate feid', 'feid 19', 'feid álbum', 'reggeaton', 'PURRITO APA', 'cali cartel', 'esteban rojas', 'esteban rojas brokix', 'feid', 'feid cantante']",none,10,3476485,60817,1633,True,PT5M17S,true
