videoId,title,description,publishedAt,thumbnail_url,tags,live_broadcast,categoryId,viewCount,likeCount,commentCount,licensed,duration,caption
1b4nPw2XCCs,4 Non-Finance Books That Will Make You Rich,"The first 500 people to use my link will get a 1 month free trial of Skillshare https://skl.sh/nischa07241

I share four life-changing non-finance books that helped me grow wealthier in money, relationships, health, and happiness.

Books I mention:
How to Win Friends and Influence People https://amzn.to/4cnsuMv
Breaking The Habit of Being Yourself https://amzn.to/3AhjSJZ
The Three Marriages https://amzn.to/3LYlHy3
Surrounded by Idiots https://amzn.to/4dzSy7Z


👉🏽 My FREE Masterclass: https://nischa.me/wealthmasterclass


MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Intro. Book 1
01:20 Book 2
04:12 Book 3
05:47 Book 4


🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-08-11T12:00:03Z,https://i.ytimg.com/vi/1b4nPw2XCCs/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'best books', 'books that will change your life', 'book review', 'books', 'books that will make your rich', 'how to get rich', 'make money online', 'best business books', 'personal finance books', 'non finance books', 'best personal finance books', 'how to win friends and influence people', 'the three marriages', 'surrounded by idiots', 'self development books', 'self improvement books']",none,27,34338,2344,136,True,PT7M13S,false
wH7gxvOA5Vc,3 Life-Changing Finance Books #shorts #books,,2024-08-08T11:28:18Z,https://i.ytimg.com/vi/wH7gxvOA5Vc/default.jpg,[],none,27,58626,4322,37,True,PT55S,false
WOQL9S-CEHI,5 investments that doubled my income,"Try Brilliant for free for 30 days and get a 20% discount on the annual premium membership https://brilliant.org/Nischa 

In this video, I share 5 key purchases that helped increase my hourly rate and enhance my productivity.

Things I mention in this video: 
12 Week Year Book: https://amzn.to/46A8KUD
Bose earphones: https://amzn.to/3ygCwkz
Whiteboard: https://amzn.to/3Wq0EZK
Apple Display Monitor: https://amzn.to/46vGhiH

👉🏽 My FREE Masterclass: https://nischa.me/wealthmasterclass

MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Intro
00:11 First purchase
01:33 Second purchase 
02:58 Third purchase
05:28 Fourth purchase
06:45 Fifth purchase

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-08-04T12:00:37Z,https://i.ytimg.com/vi/WOQL9S-CEHI/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'best purchases', '5 purchases that doubled my income', 'financial education', 'finance', 'double your money', 'how to make money online', 'work from home', 'productivity buys', 'best productivity monitor', 'productivity purchase', 'productivity', 'make money', 'increase income', 'make money online', 'how to increase income', 'best investments', 'increase hourly pay']",none,27,142409,5784,187,True,PT8M9S,false
YuS8WpxiJb0,"How to Escape the ""Rat Race"" Without Quitting Your 9-5","⚡️ Sign up and upgrade to Grammarly Premium to level up your productivity: http://grammarly.com/nischa07

👉🏽 My FREE Masterclass: https://nischa.me/wealthmasterclass

Feeling stuck in your 9-to-5? It's not your job; it's your mindset. Discover how to shift your perspective, find your flow, and thrive without quitting.

MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Intro
00:33 Realise that you're not dependent on anyone
02:21 Find your flow state
05:03 Fill your free time with work
06:22 Diversify your identity
08:06 Set boundaries and prioritise yourself

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply

#Grammarly",2024-07-28T12:00:34Z,https://i.ytimg.com/vi/YuS8WpxiJb0/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'financial education tips', 'personal finance for dummies', 'personal finance basics', 'grammarly', 'geo news live', 'toxic boss', 'toxic workplace', 'work life balance', 'achieving work life balance', 'work life balance videos']",none,27,270135,11534,390,True,PT10M21S,false
QS-7ts4S8N8,Signs you’re doing well financially #shorts #moneytips,,2024-07-07T13:58:44Z,https://i.ytimg.com/vi/QS-7ts4S8N8/default.jpg,[],none,27,1515221,43380,382,False,PT1M,false
mtXWm7GCn0w,Why Looking Poor Is Important,"The first 500 people to use my link will get a 1-month free trial of Skillshare https://skl.sh/nischa06241 

👉🏽 My FREE Masterclass 'Four-Step Routine to Financial Freedom' https://nischa.me/wealthmasterclass

Watch this video to discover the surprising ways that looking poor can positively impact your mental health and financial success. 

Thank you @GabeBult for the inspiration behind the video title! 

MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Cycle of Permanent Dissatisfaction
02:06 We lose freedom of choice
04:35 Embracing Simplicity and Avoiding Survival Mode
06:34 The power of authentic living 

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-06-30T12:00:55Z,https://i.ytimg.com/vi/mtXWm7GCn0w/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'look poor', 'quiet wealth', 'why looking poor is important', 'how to be frugal', 'rich people look poor', 'looking poor', 'frugal', 'wealth wisdom financial', 'looking poor is important', 'old money', 'financial freedom']",none,27,1151788,42391,2271,True,PT8M22S,false
MabD5R8kRak,Your Ultimate Financial Plan in 10 minutes,"Try Brilliant for free for 30 days and get a 20% discount on the annual premium membership https://brilliant.org/Nischa 

Download my FREE ‘Road to Wealth’ cheat sheet https://nischa.me/cheatsheet 

In this video I walk you through all steps needed to achieve your financial goals, including buying a home and retiring early 


MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Intro
00:26 Step 1
01:56 Step 2
03:58 Step 3
08:06 Step 4


🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-06-23T12:00:18Z,https://i.ytimg.com/vi/MabD5R8kRak/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'Financial plan', 'how to retire early', 'financial freedom', 'How to save money', 'how']",none,27,247704,8435,483,True,PT12M41S,false
W15Bd-4NwBs,You’re not behind: Why everyone SEEMS to have more money than you,"Don't miss my FREE masterclass 'Four-Step Routine to Financial Freedom' https://nischa.me/wealthmasterclass

Watch this video to understand why it often appears that others have more money and financial success than you, and what to do about it

MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Why everyone seems to have more money than you
00:28 You're making upward comparisons
02:27 You don't know what you stand for
04:07 You aren't learning
06:02 You're forgetting the trade-offs 
06:59 You're following the wrong C
08:08 You haven't focused on you for a while

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-06-16T12:00:24Z,https://i.ytimg.com/vi/W15Bd-4NwBs/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'Why Everyone Seems to Have More Money Than You', ""you're richer than you think"", 'personal finance tips', 'money basics', 'signs you are richer than you think', ""signs you're doing well financially"", 'richer than you think', ""the signs you're doing well financially"", 'feeling behind', 'behind in life', 'everyone has more money than you', 'financial education']",none,27,651367,17194,626,True,PT9M18S,false
Rl6pTMQSVo4,My Secret Tool for Financial Success: Journaling,"Try Brilliant for free for 30 days and get a 20% discount on the annual premium membership https://brilliant.org/Nischa 

Join my FREE masterclass 'Four-step routine to financial freedom' https://nischa.me/wealthmasterclass

In this video, I share how journaling transformed my life over the past 90 days, covering personal insights, mental clarity, and top journaling tips

📙 Stuff I talk about in the video: 
Law of Attraction Planner: https://amzn.to/45fnmIi
Notepad, which I use for my morning pages: https://amzn.to/3X9jw1k
Day one Journaling app: https://dayoneapp.com/
One line a day (5 year journal): https://amzn.to/3VfoAP5

MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 How journaling helped me 
00:39 Journaling benefit #1 
04:04 Journaling benefit #2
06:06 Journaling benefit #3
07:23 Top tips for effective journaling

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's appl",2024-06-09T12:00:23Z,https://i.ytimg.com/vi/Rl6pTMQSVo4/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'journaling', 'how to journal', 'plan with me', 'how to journal for beginners', 'journaling for 30 days', 'how to start a journal', 'journaling for mental health', 'journal', 'how to journal daily', 'how to change your life', 'how to journal for self growth', 'journaling for beginners']",none,27,79416,3432,124,True,PT11M5S,false
N4g33GOqpaU,These words will keep you POOR,"Sign up here to get your 7-day free trial & 20% off of your subscription: https://nischa.me/cleanmymacx-1
or watch the 9 hour tutorial to do it yourself here:  https://www.youtube.com/watch?v=s2anrQz2QgY

👉🏽 My FREE Masterclass 'Four-Step Routine to Financial Freedom' https://nischa.me/wealthmasterclass

In this video, I share 4 phrases that hold you back on your road to wealth


MY FAVOURITE STUFF:
📈 Free share worth up to £100 (enter promo code 'NISCHA'): https://nischa.me/trading212
📊 Welcome bonus of up to £50 when you invest at least £100 https://nischa.me/investengine
💻 Productivity Tool - Notion https://nischa.me/notion/
📚 Read more books - Shortform https://shortform.com/nischa
🎵 How I Found Perfect Sounds - Epidemic https://nischa.me/epidemic

PRODUCTS I USE & BOOKS I READ:
UK - https://www.amazon.co.uk/shop/nischa.me
US - https://www.amazon.com/shop/nischa.me
    
KEEP IN TOUCH:
🌍 My website - https://nischa.me/
📸 Instagram - https://www.instagram.com/nischa.me/
📱Tiktok - https://www.tiktok.com/@nischa.me
🎥Facebook - https://nischa.me/nischafb

TIMESTAMPS: 
00:00 Intro
00:45 There's a lot of competition
02:33 More is better
05:04 I can't
06:27 It's one or the other

🧡DISCLAIMERS & DISCLOSURES 
This content is for educational and entertainment purposes only. Nischa does not provide tax or investment advice. The information is being presented without consideration of the investment objectives, risk tolerance, or financial circumstances of any specific investor and might not be suitable for all investors. Past performance is not indicative of future results. All investing involves risk, including the possible loss of principal. 

This description contains affiliate links that allow you to find the items mentioned in this video and support the channel at no cost to you. Thank you for your support!

*T&C's apply",2024-06-02T12:00:18Z,https://i.ytimg.com/vi/N4g33GOqpaU/default.jpg,"['personal finance', 'investing', 'budgeting', 'accountant explains', 'money', 'nischa', 'accounting', 'how to make money', 'money lessons', 'keeping you poor', 'habits keeping you poor', 'financial management', 'money habits', 'money tips', 'money habits of millionaires', 'habits that keep you poor', 'financial independence', 'how to escape the rat race']",none,27,103165,4569,140,True,PT8M32S,false
