videoId,title,description,publishedAt,thumbnail_url,tags,live_broadcast,categoryId,viewCount,likeCount,commentCount,licensed,duration,caption
3BbSreQ8_Dg,@G-SHOCK #nudeproject #clothingbrand #parati,,2024-08-09T22:00:02Z,https://i.ytimg.com/vi/3BbSreQ8_Dg/default.jpg,"['nude project', 'nude project podcast']",none,22,2410,89,9,True,PT49S,false
3C6lJJNl0a4,"Cuál es el país más feliz del mundo 🌎: según Clavero, en Nude Project Podcast #podcast #clavero",,2024-08-09T13:00:08Z,https://i.ytimg.com/vi/3C6lJJNl0a4/default.jpg,"['nude project', 'nude project podcast']",none,22,5230,174,4,True,PT31S,false
NB4_smU3OAg,"Faltan mujeres referentes, Yaiza Canosa en Nude Project Podcast #nudeproject #podcast #empresarias",,2024-08-08T13:00:19Z,https://i.ytimg.com/vi/NB4_smU3OAg/default.jpg,"['nude project', 'nude project podcast']",none,22,7194,194,19,True,PT53S,false
jIi6dcO5Qro,"""A los niños los tenían reventados"",Jordi Sánchez en Nude Project Podcast #nudeproject #jordisanchez",,2024-08-07T13:00:57Z,https://i.ytimg.com/vi/jIi6dcO5Qro/default.jpg,"['nude project', 'nude project podcast']",none,22,5219,212,0,True,PT33S,false
JQG1oezbMVk,"Si te pasa esto puedes ser SONÁMBULO, Dr. Estivill en Nude Project Podcast #nudeproject #drestivill",,2024-08-06T13:00:17Z,https://i.ytimg.com/vi/JQG1oezbMVk/default.jpg,"['nude project', 'nude project podcast']",none,22,6219,204,0,True,PT25S,false
h5GmKEjwFI8,"Se concede el deseo de Topuria, en Nude Project Podcast #nudeproject #topuria #holloway #ufc",,2024-08-05T13:00:46Z,https://i.ytimg.com/vi/h5GmKEjwFI8/default.jpg,"['nude project', 'nude project podcast']",none,22,172381,7259,184,True,PT20S,false
rk9SLyDMsfU,Outfit Of The Day but the sand is burning #nudeproject,,2024-08-04T13:01:00Z,https://i.ytimg.com/vi/rk9SLyDMsfU/default.jpg,"['nude project', 'nude project podcast']",none,22,2396,68,1,True,PT6S,false
cewbumjancU,NUDE OASIS,,2024-08-02T22:00:32Z,https://i.ytimg.com/vi/cewbumjancU/default.jpg,"['nude project', 'nude project podcast']",none,22,2452,95,0,True,PT1S,false
VMR9K51rqN4,"El truco de magia con el que el Mago Pop se ganó la fama en Broadway,  #nudeproject",,2024-08-02T13:00:36Z,https://i.ytimg.com/vi/VMR9K51rqN4/default.jpg,"['nude project', 'nude project podcast']",none,22,6891,256,0,True,PT49S,false
Al5BzLduh2k,"""Es difícil diferenciar las culturas en África"", @hiclavero en Nude Project Podcast #nudeproject",,2024-08-01T13:00:20Z,https://i.ytimg.com/vi/Al5BzLduh2k/default.jpg,"['nude project', 'nude project podcast']",none,22,16943,290,2,True,PT38S,false
1WOctNIgck4,"""Me da rabia que después se rían de alguien con discapacidad"", Alex Roca en Nude Project Podcast",,2024-07-31T13:36:23Z,https://i.ytimg.com/vi/1WOctNIgck4/default.jpg,"['nude project', 'nude project podcast']",none,22,10329,485,1,True,PT33S,false
7tf9pZ6zMeE,"""Un taxista me quería llevar de putas"", Jordi Sánchez en Nude Project Podcast #nudeproject  #lqsa",,2024-07-30T12:59:05Z,https://i.ytimg.com/vi/7tf9pZ6zMeE/default.jpg,"['nude project', 'nude project podcast']",none,22,5342,219,0,True,PT35S,false
z_AxRF1bUaY,"Así nació VICIO, Oriol de Pablo en Nude Project Podcast #nudeproject #podcast #vicio #inicios",,2024-07-29T13:01:03Z,https://i.ytimg.com/vi/z_AxRF1bUaY/default.jpg,"['nude project', 'nude project podcast']",none,22,24258,433,6,True,PT39S,false
QsPdodIPGMY,La última prueba era la peor💀 #clothingbrand #nudeproject #parati G-SHOCK x Nude Project,,2024-07-28T14:00:30Z,https://i.ytimg.com/vi/QsPdodIPGMY/default.jpg,"['nude project', 'nude project podcast']",none,22,12382,301,3,True,PT53S,false
