,subs,views,week,start_date,end_date,subs_cumsum,views_cumsum
0,6.0,1305.0,1,2021-08-09,2021-08-15,6.0,1305.0
1,41.0,1431.0,2,2021-08-16,2021-08-22,47.0,2736.0
2,17.0,1265.0,3,2021-08-23,2021-08-29,64.0,4001.0
3,5.0,1230.0,4,2021-08-30,2021-09-05,69.0,5231.0
4,8.0,1155.0,5,2021-09-06,2021-09-12,77.0,6386.0
5,6.0,1126.0,6,2021-09-13,2021-09-19,83.0,7512.0
6,4.0,1182.0,7,2021-09-20,2021-09-26,87.0,8694.0
7,8.0,1122.0,8,2021-09-27,2021-10-03,95.0,9816.0
8,1.0,1074.0,9,2021-10-04,2021-10-10,96.0,10890.0
9,1.0,1126.0,10,2021-10-11,2021-10-17,97.0,12016.0
10,77.0,4410.0,11,2021-10-18,2021-10-24,174.0,16426.0
11,11.0,2859.0,12,2021-10-25,2021-10-31,185.0,19285.0
12,15.0,1835.0,13,2021-11-01,2021-11-07,200.0,21120.0
13,11.0,1495.0,14,2021-11-08,2021-11-14,211.0,22615.0
14,13.0,2118.0,15,2021-11-15,2021-11-21,224.0,24733.0
15,19.0,1677.0,16,2021-11-22,2021-11-28,243.0,26410.0
16,13.0,1870.0,17,2021-11-29,2021-12-05,256.0,28280.0
17,0.0,1656.0,18,2021-12-06,2021-12-12,256.0,29936.0
18,14.0,1598.0,19,2021-12-13,2021-12-19,270.0,31534.0
19,14.0,1559.0,20,2021-12-20,2021-12-26,284.0,33093.0
20,11.0,1470.0,21,2021-12-27,2022-01-02,295.0,34563.0
21,129.0,3044.0,22,2022-01-03,2022-01-09,424.0,37607.0
22,34.0,0.0,23,2022-01-10,2022-01-16,458.0,37607.0
23,34.0,1854.0,24,2022-01-17,2022-01-23,492.0,39461.0
24,9.0,1549.0,25,2022-01-24,2022-01-30,501.0,41010.0
25,9.0,1416.0,26,2022-01-31,2022-02-06,510.0,42426.0
26,9.0,1331.0,27,2022-02-07,2022-02-13,519.0,43757.0
27,136.0,5469.0,28,2022-02-14,2022-02-20,655.0,49226.0
28,47.0,2343.0,29,2022-02-21,2022-02-27,702.0,51569.0
29,34.0,2211.0,30,2022-02-28,2022-03-06,736.0,53780.0
30,352.0,8681.0,31,2022-03-07,2022-03-13,1088.0,62461.0
31,161.0,5958.0,32,2022-03-14,2022-03-20,1249.0,68419.0
32,212.0,6111.0,33,2022-03-21,2022-03-27,1461.0,74530.0
33,491.0,14208.0,34,2022-03-28,2022-04-03,1952.0,88738.0
34,199.0,8208.0,35,2022-04-04,2022-04-10,2151.0,96946.0
35,72.0,3667.0,36,2022-04-11,2022-04-17,2223.0,100613.0
36,110.0,4438.0,37,2022-04-18,2022-04-24,2333.0,105051.0
37,98.0,658.0,38,2022-04-25,2022-05-01,2431.0,105709.0
38,199.0,8282.0,39,2022-05-02,2022-05-08,2630.0,113991.0
39,352.0,14278.0,40,2022-05-09,2022-05-15,2982.0,128269.0
40,98.0,9371.0,41,2022-05-16,2022-05-22,3080.0,137640.0
41,161.0,10234.0,42,2022-05-23,2022-05-29,3241.0,147874.0
42,85.0,4290.0,43,2022-05-30,2022-06-05,3326.0,152164.0
43,72.0,6267.0,44,2022-06-06,2022-06-12,3398.0,158431.0
44,352.0,15985.0,45,2022-06-13,2022-06-19,3750.0,174416.0
45,314.0,17868.0,46,2022-06-20,2022-06-26,4064.0,192284.0
46,491.0,25192.0,47,2022-06-27,2022-07-03,4555.0,217476.0
47,225.0,13390.0,48,2022-07-04,2022-07-10,4780.0,230866.0
48,275.0,17951.0,49,2022-07-11,2022-07-17,5055.0,248817.0
49,212.0,18211.0,50,2022-07-18,2022-07-24,5267.0,267028.0
50,212.0,16163.0,51,2022-07-25,2022-07-31,5479.0,283191.0
51,453.0,20608.0,52,2022-08-01,2022-08-07,5932.0,303799.0
52,275.0,15014.0,53,2022-08-08,2022-08-14,6207.0,318813.0
53,136.0,16474.0,54,2022-08-15,2022-08-21,6343.0,335287.0
54,936.0,30336.0,55,2022-08-22,2022-08-28,7279.0,365623.0
55,1735.0,99654.0,56,2022-08-29,2022-09-04,9014.0,465277.0
56,8375.0,1214492.0,57,2022-09-05,2022-09-11,17389.0,1679769.0
57,3551.0,1234094.0,58,2022-09-12,2022-09-18,20940.0,2913863.0
58,2154.0,309924.0,59,2022-09-19,2022-09-25,23094.0,3223787.0
59,3424.0,274995.0,60,2022-09-26,2022-10-02,26518.0,3498782.0
60,7486.0,509488.0,61,2022-10-03,2022-10-09,34004.0,4008270.0
61,3170.0,179531.0,62,2022-10-10,2022-10-16,37174.0,4187801.0
62,3551.0,336641.0,63,2022-10-17,2022-10-23,40725.0,4524442.0
