videoId,title,description,publishedAt,thumbnail_url,tags,live_broadcast,categoryId,viewCount,likeCount,commentCount,licensed,duration,caption
Rm8tLh5_JHw,TOMORROWLAND 2024 (EL MEJOR FESTIVAL DEL MUNDO),"Os dejo unos cuantos cortes de Tomorrowland en su 20 aniversario, es un video a trozos, la verdad que mi intención era pasarlo bien y me olvidé de grabar vídeos :S",2024-08-07T20:04:07Z,https://i.ytimg.com/vi/Rm8tLh5_JHw/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'tomorrowland 2024', 'dimitri vegas', 'like mike', 'timmy trumpet', 'timy trumpet', 'set tomorrowland', 'dj tomorrowland', 'el mejor festival del mundo', 'mi experiencia en tomorrowland', 'camping tomorrowland', 'camping', 'belgica tomorrowland', 'festival tomorrowland', 'djs tomorrowland', 'steve aoki', 'aoky', 'diomitri vegas like mike', 'festival', 'the best festival', 'sobrevivir a tomorrowland', 'live tomorrowland', 'tomorrowland el mejor festival']",none,10,450,45,7,False,PT9M15S,false
kgTYQZ5Jomc,ENDING TOMORROWLAND 2024 (Steve Aoki - Dimitri Vegas & Like Mike) W 1,"Os dejo por aquí un fragmento del cierre de Tomorrowland 2024 de la semana 1.
En el mainstage dandolo todo Steve Aoki junto a Dimitri Vegas & Like Mike.",2024-07-25T19:50:07Z,https://i.ytimg.com/vi/kgTYQZ5Jomc/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'Steve Aoki - Dimitri Vegas & Like Mike', 'steve aoki', 'tomorrowland', 'tomorrowland 2024', 'main stage', 'dimitri vegas', 'edm', 'elecrtonic musica', 'musica electronica']",none,10,3733,51,1,False,PT5M32S,false
P4QkRR5mkmg,LOLA FLORES - LA FARAONA (Tech House remix),"Soy novato haciendo música, pero bueno, aquí os dejo esta cosa que salió en una tarde, con todo el respeto y amor a Lola Flores, con la ayuda de Giacomo Stallone",2024-05-08T17:34:24Z,https://i.ytimg.com/vi/P4QkRR5mkmg/default.jpg,"['lola flores', 'lola flores remix', 'lola flores aniversario', 'cancion lola flores', 'la faraona', 'tech house', 'tech house lola flores', 'remix lola flores', 'flamenco', 'musica tech house', 'lola flores tema', 'cancion lola flores remix', 'dj lola flores', 'tiparraco', 'musica tiparraco', 'dj set', 'dj remix', 'lola flores españa', 'lola de españa', 'la lola de españa', 'musica techno', 'crear musica', 'hacer musica', 'crear cancion', 'mashup', 'lola flores flamenco']",none,10,1465,85,10,False,PT1M55S,false
iW_zbg8sxSQ,Compré una MAQUINA para COPIAR MÚSICA a VINILO,Oss cuento un secreto y de donde viene mi pasión por la música en vinilo.,2024-04-29T12:48:02Z,https://i.ytimg.com/vi/iW_zbg8sxSQ/default.jpg,"['musica vinilo', 'copiar musica a vinilo', 'crear vinilo', 'vinilo dj', 'musica dj', 'crear musica', 'maquina para cortar vinilo', 'cortadora de vinilos', 'musica en vinilo', 'sonido vinilo', 'cancion a vinilo', 'cancion en vinilo', 'los mejores vinilos', 'maquina para grabar vinilo', 'grabar vinilo', 'grabacion musica', 'grabadora', 'grabadora de musica', 'grabadora de vinilo', 'copiar musica', 'copiar a vinilo', 'cortar vinilo musica', 'plancha vinilo']",none,10,5583,230,12,False,PT8M2S,false
S7t7aVjJiXM,SESIÓN DJ DENTRO DEL COCHE (Cámara oculta),"Resubo esta broma que grabé hace un tiempo y la dejo por este canal, para el que no la haya visto",2024-04-03T10:03:31Z,https://i.ytimg.com/vi/S7t7aVjJiXM/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'coche dj', 'discoteca en el coche', 'coche', 'sesion dentro del coche', 'dj exterior', 'sesion exterior', 'pinchando musica', 'broma', 'camara oculta coche', 'sesion musica', 'luces discoteca', 'discoteca dentro del coche', 'controladora coche', 'musica coche', 'sesion dj dentro del coche', 'poniendo musica en el coche', 'tipa', 'cancion coche', 'conectar controladora coche', 'broma dj', 'dj broma']",none,10,2882,181,6,False,PT2M57S,false
88d0FCjKdMQ,HARD BASS,,2024-03-18T13:00:14Z,https://i.ytimg.com/vi/88d0FCjKdMQ/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set']",none,10,327,42,2,False,PT20S,false
7YHzkvvjqMs,HARD BASS (Thematic session DJ) vol.2,"Sesión temática, el cani ruso Tipa con su música hard bass.",2024-03-14T16:48:46Z,https://i.ytimg.com/vi/7YHzkvvjqMs/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'hard bass', 'coliseum', 'tipa', 'musica rusa', 'hard bass russian', 'thematic session', 'tipa dj hard bass', 'espiritual', 'musica hard bass', 'gopnik', 'cani', 'adidas', 'hard bass adidas', 'dj hard bass', 'gopnik style', 'hard bass ruso', 'dj ruso', 'musica hard bas', 'gopnik hard bass', 'russian gopnik', 'dj gopnik', 'tiparraco', 'tiparraco dj', 'dj tipa espiritual']",none,10,5629,373,62,False,PT8M48S,false
543e7z-hnMU,CREANDO UNA CANCIÓN EN MEDIA TARDE,"Estoy en el estudio de La Banana en Zaragoza con Javier Custardoy (Franky). A parte de contarme sus trucos y secretos de la producción musical, crea un temazo en media tarde.",2024-03-07T17:50:30Z,https://i.ytimg.com/vi/543e7z-hnMU/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'la banana', 'la banana estudio', 'la banana zaragoza', 'kaidy cain produccion', 'productor musical', 'trucos produccion', 'kaidy cain', 'haciendo una cancion', 'producir una cancion', 'cancion en media tarde', 'javier custardoy', 'drum and bass', 'drum & bass', 'produccion drum bass', 'tipa', 'dj tipa', 'productor trap', 'musica urbana', 'produccion musica', 'pruduccion musica urbana']",none,10,3515,178,17,False,PT8M49S,false
pt-KE7JVooc,AMENO! 🎵​,,2024-03-03T10:52:24Z,https://i.ytimg.com/vi/pt-KE7JVooc/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'SESSION', 'cura dj', 'musica dj', 'cancion dj', 'tipa di', 'tiparraco', 'cura', 'sacerdote dj', 'sacerdote', 'dj personaje']",none,10,1110,118,5,False,PT31S,false
Sn-8R2Bd-eM,SPIRITUAL (Thematic session DJ) vol.1,"Sesión temática, el padre Tipa con su música espiritual.",2024-02-29T18:50:06Z,https://i.ytimg.com/vi/Sn-8R2Bd-eM/default.jpg,"['dj', 'dj session', 'sesion dj', 'set dj', 'dj set', 'THEMATIC SESSION', 'sesion tematica', 'sesion tematica dj', 'padre pinchando', 'padre dj', 'priest dj', 'trance', 'progressive', 'priest session', 'dj tipa', 'tiparraco dj', 'tiparraco', 'musica dj', 'vinilos', 'cura', 'cura tiparraco', 'padre tipa', 'nuevo proyecto', 'aprender a pinchar', 'aprender a ser dj', 'dj profesional', 'dj musica', 'como ser dj', 'aprende a ser dj', 'aprender dj', 'tiparraco dj tipa']",none,10,19149,1706,314,False,PT6M20S,false
